period_s,rho_det,phase_det_deg
0.003125,15619886.775221433,-42.88786026736563
0.0037735849056603774,16189606.719291473,-42.1444048671705
0.004366812227074236,16538119.692429628,-44.44213855926216
0.005154639175257732,16885334.50076366,-45.221132331045624
0.006289308176100629,17877181.831098866,-45.74393840716782
0.007575757575757576,18827976.57103755,-47.94820268698216
0.008695652173913044,19512513.996779103,-48.77648916151904
0.010309280476140305,19904637.103118427,-49.08456990043178
0.012658229450408792,20637587.97808126,-48.09913633774974
0.015151519742884772,20986220.508843344,-47.102853428029434
0.017543859649122806,21813138.545832783,-46.93154215072043
0.020408159100375693,21503252.33033382,-45.31755108378803
0.025,23007603.897265654,-44.30681886485974
0.030303030303030304,23759616.549700204,-42.57284768178108
0.03636363636363636,23875279.42899151,-40.561765250645884
0.044444444444444446,23583834.441825606,-37.99198030942686
0.05319148936170213,23991827.35200995,-35.68252172569762
0.0617283950617284,22037752.09008164,-33.559492958464325
0.07299270072992702,21909834.381412398,-31.182511211336006
0.08928571428571429,20013034.81157962,-28.58883648228242
0.1063830013580854,16751217.471925398,-27.842496958109052
0.1234568053650377,15434099.626006104,-27.457077208145567
0.1449274942239147,14256184.98586134,-27.2257818603549
0.17857139668367916,12290955.982865676,-27.314376151662355
0.2127660027161708,10983764.228662545,-27.87981945189228
0.243902379536005,9960668.843216322,-28.829299083232694
0.2941175605536587,9199157.610853538,-30.60019129795206
0.35587188612099646,8123160.133008061,-33.07599677398373
0.4273504273504274,7548129.0243994845,-35.7473744341486
0.4926108374384237,7201130.566095295,-38.08557394999144
0.5813953488372093,6764139.386737539,-41.510474620189235
0.7092198581560284,6622266.748102249,-45.69643818994119
0.8547008547008548,6817327.974604771,-49.26523985838547
0.9803921568627451,6913720.905588281,-51.50647913815732
1.1627909680909227,7210612.408339496,-55.00300134014501
1.42857102040828,7813492.398579734,-58.408934625927756
1.6949149669635648,8401671.49269391,-60.93613056094774
1.9607839292580533,8969261.682071928,-63.04737067773203
2.3255808545160805,9857484.704342548,-65.53655277765824
2.857142857142857,11162614.885880861,-67.68084565364191
3.4129692832764507,12594386.759264637,-69.3615285880492
3.937007874015748,13819996.89272269,-70.81503566452132
4.651162790697675,15565209.73240125,-71.94933004088736
5.6818181818181825,18506155.17654661,-73.87782685710579
6.849315068493151,21221224.530487213,-74.53454106501006
7.874015748031496,22995571.582107976,-74.99210256271856
9.345794392523365,26504267.405137416,-75.49078414569622
11.363640237604628,31883860.11882476,-75.85256851056893
13.698630136986303,37457797.94553448,-75.71199134983658
15.873020912070132,41997492.8894868,-75.63556406380732
18.51851851851852,49613663.25909187,-75.34160007325094
22.727267561984647,57601712.179449305,-74.2991057590397
27.027027027027028,65139210.88358872,-72.76840583007245
31.25,71441763.74744204,-72.38147591207307
37.174721189591075,82360620.37540738,-70.62498840226058
45.45454545454546,92983644.22669879,-68.4343637101305
54.6448087431694,104931063.24619287,-66.61202844142595
62.893081761006286,109977529.78424825,-65.08311795527749
74.6268656716418,124009387.47513583,-62.523765085581225
90.90909090909092,129489666.03513008,-59.503758654720706
108.69569943291279,138769869.28214508,-56.10555737442239
126.58229450408791,149101767.24345696,-55.53166424060926
149.25370906661058,164531817.95630577,-52.03505587063198
181.81821487603906,158861156.91860354,-50.12262124551656
217.3913043478261,161013580.81596357,-46.387069601937505
250.0,160010004.18311003,-45.05539165304719
294.1175605536586,148927605.9385686,-41.19172048734775
363.6363636363637,144645133.81455404,-42.058186824368704
436.6812227074236,147373172.37243265,-37.695276506928415
505.0505050505051,134907701.1992613,-34.42773125185775
595.2380952380952,109667899.4728985,-33.16688843954257
729.9270072992701,85493095.29224919,-39.340006964119475
877.1929824561404,111439858.21138945,-46.026948048522264
1010.1010101010102,42521255.861320145,-51.14772203108972
1190.4760487528513,62482176.13413628,-11.535217460759963
1449.274942239147,87820528.10651648,-27.50685541700128
1754.3859649122808,107372473.12904054,-3.8412173799141156
2000.0,150456760.80625972,45.68985250460788
2380.9518140590917,170521911.8662444,-39.46956424895828
2941.1756055365868,119883506.95911872,2.6210044689703786
3496.5034965034965,605308049.5320814,-30.38098819163985
4032.258064516129,262126024.25097027,7.3949153431694645
4761.9047619047615,238103150.90713316,-84.64756470528005
5813.953488372093,416651295.5256255,18.815850686271553
