period_s,rho_det,phase_det_deg
0.003125,1630030.9810552048,-43.6732528226909
0.0037735849056603774,1668359.8607086928,-44.95401922966226
0.004366812227074236,1728958.9250907728,-47.208985490597385
0.005154639175257732,1810439.4899402913,-49.217716343257315
0.006289308176100629,1946106.2717126159,-49.977755394929
0.007575757575757576,2089286.3788011032,-52.039141156995065
0.008695652173913044,2215614.2108411933,-53.666496901319235
0.010309280476140305,2331261.0710433237,-55.148160469888985
0.012658229450408792,2439107.0469616237,-55.52880219404661
0.015151519742884772,2466841.2980681453,-55.52860349216203
0.017543859649122806,2508887.8426239146,-55.91484323353644
0.020408159100375693,2530412.749796509,-56.38810188251304
0.025,2728687.0832636463,-57.33171934109673
0.030303030303030304,2925584.912216589,-58.62902611619716
0.03636363636363636,3037991.535765607,-59.211290004491495
0.044444444444444446,3259548.4977381695,-59.92390903147025
0.05319148936170213,3613229.1086455584,-61.13576865547105
0.0617283950617284,3833211.257691269,-61.64021906375321
0.07299270072992702,4148295.3631345085,-62.22757296148789
0.08928571428571429,4671816.448919346,-62.074731297707764
0.1063830013580854,5037153.129246187,-62.09269852679689
0.1234568053650377,5247752.787346805,-63.077702517134306
0.1449274942239147,5738476.410688948,-63.74200921172315
0.17857139668367916,6259471.107401198,-64.07707070041714
0.2127660027161708,6698736.582997285,-63.675342889841986
0.243902379536005,7069011.610961068,-63.67835115310745
0.2941175605536587,7632892.681702387,-63.74122228570411
0.35587188612099646,8070955.3360137995,-63.95829759697196
0.4273504273504274,8599405.797646154,-64.39244818753784
0.4926108374384237,9062697.431554189,-65.15873677548382
0.5813953488372093,9654710.088683814,-66.39441879628534
0.7092198581560284,10630128.96287092,-67.74193323054025
0.8547008547008548,11934139.682698468,-68.56511099721357
0.9803921568627451,12963975.90749144,-69.26908930438697
1.1627909680909227,14512599.999998176,-69.85264808348785
1.42857102040828,16825655.55740609,-70.26658081291909
1.6949149669635648,18863287.818703048,-69.84770982836368
1.9607839292580533,20893480.893272433,-69.58603204660852
2.3255808545160805,23551229.634344045,-68.9663947468259
2.857142857142857,27274983.418574896,-67.80043189104325
3.4129692832764507,30400534.50876546,-65.94507201854013
3.937007874015748,32797513.60922458,-64.45885574265193
4.651162790697675,36018985.91675707,-62.9590285793879
5.6818181818181825,39338606.2298988,-60.08596107249711
6.849315068493151,42229923.05190643,-57.59726669058695
7.874015748031496,44366923.35896625,-55.437770334983526
9.345794392523365,46676826.506619565,-52.175027119558074
11.363640237604628,45026203.93159655,-48.87542990658456
13.698630136986303,44001988.74600452,-45.65054388634243
15.873020912070132,42977120.87453112,-44.19751318671789
18.51851851851852,40575202.630666964,-42.74353207906362
22.727267561984647,38802517.52187345,-41.53339998547752
27.027027027027028,35432812.74799222,-40.96670095357979
31.25,33940215.21339645,-41.02777770029146
37.174721189591075,32302970.770172067,-41.288296211053506
45.45454545454546,30879429.18176483,-43.049212780201664
54.6448087431694,29773655.885373775,-44.58383950900225
62.893081761006286,29522809.959245518,-46.09888320243418
74.6268656716418,29384571.99222747,-46.634527494792266
90.90909090909092,31219101.96109578,-48.838546246290115
108.69569943291279,32979975.554596864,-49.65844240006886
126.58229450408791,34499657.1640065,-50.122051683522685
149.25370906661058,36711272.73586727,-50.254708442448624
181.81821487603906,39287667.837740466,-49.85911713419056
217.3913043478261,38850029.49568636,-49.91752600880782
250.0,41145860.894454345,-47.863847525579125
294.1175605536586,42207782.714370616,-46.79596995762084
363.6363636363637,44322934.00770567,-45.016904078813255
436.6812227074236,43018301.8881372,-44.42301334531274
505.0505050505051,43912894.7595965,-42.45698813904232
595.2380952380952,43697534.64945065,-39.70206105157007
729.9270072992701,39659275.22144148,-37.829635690379476
877.1929824561404,40438236.61473296,-35.27172273510709
1010.1010101010102,38416112.0549368,-35.26623160298288
1190.4760487528513,39057675.78770406,-37.13194892145943
1449.274942239147,32523612.569449645,-34.25668204090101
1754.3859649122808,32253358.538583554,-34.0582262085659
2000.0,37605229.900655404,-30.695817053624253
2380.9518140590917,27559971.684683938,-29.911372553801325
2941.1756055365868,41951482.93969505,-27.278103226133524
3496.5034965034965,24996793.611637566,-37.35009763213051
4032.258064516129,31421708.015517727,-38.55253617133796
4761.9047619047615,30782432.30562506,-47.27199893624721
5813.953488372093,25582260.294921897,-59.063445632475194
