period_s,rho_det,phase_det_deg
0.003125,51030816.295363426,-59.11943893294406
0.0037735849056603774,54840763.26438938,-58.32197100340307
0.004366812227074236,58269131.257066116,-58.519210919826165
0.005154639175257732,63001353.763236836,-58.22447336743572
0.006289308176100629,68292250.9184044,-57.19845943894696
0.007575757575757576,73586415.92238231,-56.91231684886016
0.008695652173913044,77842218.2687125,-56.980977608971024
0.010309280476140305,80648158.12137659,-56.41453917077302
0.012658229450408792,82972324.76693311,-54.92576324394912
0.015151519742884772,81239838.37289225,-53.07877482661361
0.017543859649122806,80361709.86484627,-52.27357705355474
0.020408159100375693,74780852.27259529,-52.35594790310287
0.025,76535007.32729794,-52.845594479308
0.030303030303030304,77242058.53544131,-54.51068615233381
0.03636363636363636,77820805.95993252,-56.216268679592865
0.044444444444444446,80802242.44988759,-58.43877080088994
0.05319148936170213,88078280.41148089,-60.812151238919135
0.0617283950617284,94607889.5527238,-62.316128673354534
0.07299270072992702,103971533.13244899,-64.0473042379693
0.08928571428571429,121376620.79651193,-64.78879300565512
0.1063830013580854,138681720.09133023,-65.31731963895122
0.1234568053650377,149248200.79130924,-66.40464124954171
0.1449274942239147,169362906.08057597,-67.12019902627755
0.17857139668367916,196184716.41893795,-66.42139627727639
0.2127660027161708,220753635.29830468,-65.15953030457045
0.243902379536005,240552223.41430366,-64.09363514753446
0.2941175605536587,271206589.18887293,-62.06192074976932
0.35587188612099646,299251090.82891434,-59.490855978057404
0.4273504273504274,326448228.2741582,-56.724372601359214
0.4926108374384237,342043479.51077396,-54.24253658090932
0.5813953488372093,354600276.94815046,-51.553459908598974
0.7092198581560284,365486292.59318215,-48.059167748873925
0.8547008547008548,374285042.8333322,-44.78568568826488
0.9803921568627451,369642713.6997831,-42.151738120778425
1.1627909680909227,359156558.35297614,-39.25042538756522
1.42857102040828,346564574.14172053,-35.80552166847988
1.6949149669635648,323711615.4217365,-32.675016015217906
1.9607839292580533,306436845.71907574,-30.4448371985529
2.3255808545160805,280994289.88737434,-28.30038464095673
2.857142857142857,251994115.9231659,-25.97708594002394
3.4129692832764507,224714484.26367685,-23.729417475213577
3.937007874015748,205733218.96480295,-22.42682347738324
4.651162790697675,182854268.82355508,-21.30879176794912
5.6818181818181825,157845507.7624604,-20.50091538639986
6.849315068493151,139088559.52088436,-19.723805418693413
7.874015748031496,125674808.03791241,-19.975518066873374
9.345794392523365,111723212.79295848,-19.553663489989873
11.363640237604628,95181639.99007437,-20.7500545559082
13.698630136986303,84307019.82999174,-21.004597959860444
15.873020912070132,77660982.60174721,-22.083072440935123
18.51851851851852,68384489.8146598,-23.129319433809883
22.727267561984647,61153306.44772391,-25.48523056575712
27.027027027027028,54458064.758223645,-26.702128221132458
31.25,50582723.979093365,-28.575080859417678
37.174721189591075,48382488.60435855,-30.861392485708762
45.45454545454546,46296080.17649648,-33.53370650506318
54.6448087431694,44362983.399555475,-35.41447166429069
62.893081761006286,43820392.39451139,-36.80919550487963
74.6268656716418,45010582.138449445,-39.189782259904476
90.90909090909092,43983506.508239366,-40.10623553688944
108.69569943291279,43173652.587855324,-41.164208439588684
126.58229450408791,44787000.58006579,-41.572979024868424
149.25370906661058,45084170.20847673,-41.972645235706935
181.81821487603906,46748341.84220706,-42.763310273685484
217.3913043478261,46339987.43795596,-41.85571906221162
250.0,45179125.58734573,-41.015338902024695
294.1175605536586,48782198.62810108,-40.81403934091295
363.6363636363637,47433735.853271395,-40.62181757084101
436.6812227074236,46725499.513015136,-39.16001857053989
505.0505050505051,45423698.479486436,-39.54625002113705
595.2380952380952,47060677.28892486,-39.89072304811612
729.9270072992701,47006083.95169469,-37.73780777411421
877.1929824561404,46405043.40030047,-31.77815476664328
1010.1010101010102,32452472.523306333,-37.47317960189196
1190.4760487528513,43672699.536313035,-35.076160754066954
1449.274942239147,44038815.406208746,-33.544075165013204
1754.3859649122808,34299614.53998554,-22.642807131777783
2000.0,28507433.02226112,-30.114177724537747
2380.9518140590917,29612409.05739264,-40.44983282325633
2941.1756055365868,37180235.788252436,-37.93235890251927
3496.5034965034965,46034298.958100654,-71.6766660990425
4032.258064516129,87792034.71416894,14.245253063201217
4761.9047619047615,86770662.68924746,-24.265412263556374
5813.953488372093,127013797.6418706,-36.0046794298001
