period_s,rho_det,phase_det_deg
0.003125,1819365358.830565,-86.08879020576033
0.0037735849056603774,1244565146.3980699,-75.2190328675029
0.004366812227074236,1443036483.5162764,-75.99122895380832
0.005154639175257732,2431006849.767235,-79.46660295784375
0.006289308176100629,2146359623.6522467,-77.27200803943549
0.007575757575757576,2130184205.7699099,-75.20216028348385
0.008695652173913044,2962035067.985198,-78.17466442981525
0.010309280476140305,4213346773.11114,-79.77191945941397
0.012658229450408792,3460182992.190129,-75.00742478182049
0.015151519742884772,3921923568.107875,-72.94408569890965
0.017543859649122806,4170060707.2060223,-70.69704157310203
0.020408159100375693,4878415071.865585,-69.13626909319731
0.025,4961646664.029531,-66.34368933823532
0.030303030303030304,5616605067.259777,-63.96993238549766
0.03636363636363636,6499204605.324148,-61.68747840955281
0.044444444444444446,7480670752.155159,-58.922573656624785
0.05319148936170213,8506742787.891098,-56.0130939922889
0.0617283950617284,9994910041.768585,-54.13749478621961
0.07299270072992702,8951067600.719208,-49.44475613009663
0.08928571428571429,11804160309.153004,-47.59705150371547
0.1063830013580854,11536072685.528976,-43.58608323379178
0.1234568053650377,10040237930.703293,-41.2653909527648
0.1449274942239147,10198718913.543213,-39.98876007614366
0.17857139668367916,12125454137.708418,-39.145160859747214
0.2127660027161708,13493761401.011705,-35.84520686113083
0.243902379536005,14355647603.539082,-35.70935713827575
0.2941175605536587,14069199237.379026,-33.57120679290691
0.35587188612099646,12892414551.57216,-31.450646195412556
0.4273504273504274,12753430158.934443,-31.112752342665406
0.4926108374384237,11832710659.64622,-30.965789387770876
0.5813953488372093,10462207618.956835,-29.47856310964876
0.7092198581560284,10282814331.789904,-28.55788363418575
0.8547008547008548,10120654413.182037,-27.393442540041534
0.9803921568627451,10183014699.504927,-29.090550179862763
1.1627909680909227,10637177412.776768,-27.763552798834617
1.42857102040828,8725405386.958654,-26.792739778517838
1.6949149669635648,6655960963.513984,-24.16795742292689
1.9607839292580533,7593322131.833042,-23.230423643901126
2.3255808545160805,7716825849.628891,-24.20629972214443
2.857142857142857,4580982834.032483,-21.116403315634898
3.4129692832764507,3313943898.747371,-23.872735011426816
3.937007874015748,3246686953.2830777,-22.926079141681114
4.651162790697675,2937566608.258034,-23.90421711022667
5.6818181818181825,2726617447.176728,-24.506257638624074
6.849315068493151,2199928492.698694,-28.089005638150187
7.874015748031496,1671908966.0040827,-27.527757599796725
9.345794392523365,1384042922.0007885,-30.954323116107958
11.363640237604628,1078213106.6724367,-31.745447897183062
13.698630136986303,917865632.8365166,-36.60203671421831
15.873020912070132,753237810.3112967,-34.32990839775482
18.51851851851852,637628088.3659933,-33.71224323870426
22.727267561984647,608957090.2132901,-34.521153838962334
27.027027027027028,564095814.0427129,-35.17469449362902
31.25,535430762.7038757,-35.375824047195174
37.174721189591075,546679646.7738779,-36.61482507798137
45.45454545454546,537164729.4589535,-37.69273522408425
54.6448087431694,509722007.83553433,-37.95470447526301
62.893081761006286,530229351.6862474,-38.97329648188918
74.6268656716418,500535067.7992273,-36.542089734031094
90.90909090909092,495084279.7093621,-39.61754296023392
108.69569943291279,472040917.7083174,-38.000462476339024
126.58229450408791,467178666.7248272,-41.19029139003451
149.25370906661058,445908068.3357853,-40.297699362153296
181.81821487603906,448794607.05617654,-41.734457186240654
217.3913043478261,501771656.443684,-40.805049189805544
250.0,531405692.690779,-39.54281721899753
294.1175605536586,441448839.8553445,-38.962987238187665
363.6363636363637,511309126.29919696,-38.47370078582723
436.6812227074236,307331697.56165427,-35.15879890281057
505.0505050505051,387204157.13395107,-41.48921445476342
595.2380952380952,465155878.13170105,-27.08341433142741
729.9270072992701,390725103.2416169,-30.25790784809071
877.1929824561404,422114341.7000186,-32.2254815564557
1010.1010101010102,228889495.4736593,-51.94418715713851
1190.4760487528513,1304619046.9511902,-46.31089657725866
1449.274942239147,690257867.117828,-57.63338588338277
1754.3859649122808,416476036.8739911,-43.09630999233173
2000.0,88775429.45598271,69.35674365609776
2380.9518140590917,324764807.20832616,-5.059628016184345
2941.1756055365868,362268714.11185867,72.31356006593136
3496.5034965034965,589805838.4336172,-52.73313235365583
4032.258064516129,366054789.7999567,1.2012231031185705
4761.9047619047615,1847428564.9960473,-30.678177323184716
5813.953488372093,108895102.74758664,-27.803060849828608
