period_s,Zdet_real,Zdet_imag,rho_det,phase_det_deg
0.003125,398.1255408573937,-1499.7966924772568,953010456.0784987,-75.13352342775397
0.0037735849056603774,398.9909202802744,-1448.9227076467882,1079438978.6450367,-74.60400218040698
0.004366812227074236,417.40257306432625,-1375.1059589770837,1142153720.2764847,-73.1147466398005
0.005154639175257732,408.3519688308644,-1333.0247353848745,1268934410.4150934,-72.9683466533349
0.006289308176100629,401.7262689371387,-1303.81301062043,1482628707.7628965,-72.8750725610918
0.007575757575757576,365.67404245967174,-1263.6691251753034,1660455743.9858027,-73.86088719761243
0.008695652173913044,342.76771472029526,-1264.6011627217663,1890637655.783826,-74.83446943132219
0.010309280476140305,329.3604214420615,-1320.813853472561,2419471399.963115,-75.99818093589653
0.012658229450408792,337.17906159412325,-1215.4637329583354,2550731952.298919,-74.49557311483656
0.015151519742884772,367.6333020648484,-1166.5494912264671,2870752311.8521795,-72.50796756295803
0.017543859649122806,387.74854238399877,-1135.7590482937042,3200277463.8285284,-71.15007706244074
0.020408159100375693,449.4551680334287,-1188.9410066303005,4175855231.754956,-69.29191236167769
0.025,425.2974878641242,-1040.8555511349625,4003004388.9488955,-67.77489071289821
0.030303030303030304,449.4856315936404,-990.4099203975057,4540068462.163301,-65.58964879036886
0.03636363636363636,467.3492089654007,-928.1289005145788,4973205405.605072,-63.27295730850946
0.044444444444444446,482.79478406287603,-849.5021883782601,5374215018.477405,-60.38927393278884
0.05319148936170213,500.2591482193713,-801.2837503522929,6011329667.397203,-58.02255605412785
0.0617283950617284,503.42096541383626,-732.28891733002,6173710233.339026,-55.492946889531815
0.07299270072992702,503.5805721337887,-675.814602715208,6566636726.913637,-53.30850891372418
0.08928571428571429,506.61307409554996,-594.588390581513,6900155358.008862,-49.567675886377074
0.1063830013580854,491.2115985097563,-518.9969004705149,6880230144.533296,-46.575495825681394
0.1234568053650377,456.2228206701318,-463.2612716533395,6610117718.867933,-45.438578179430095
0.1449274942239147,436.1940154197361,-419.8507559177165,6727942637.216325,-43.90626509261801
0.17857139668367916,403.7671720693929,-356.09954606076474,6555000305.439018,-41.410449924951074
0.2127660027161708,377.7001834422164,-312.53160211406663,6476295975.49614,-39.606378989780026
0.243902379536005,355.1231041669244,-278.35485301970687,6289135413.242279,-38.09028426909198
0.2941175605536587,328.81468589125603,-244.50890502571488,6254484136.336863,-36.634750877211864
0.35587188612099646,296.2422318669314,-208.20622508942114,5909318800.195569,-35.100478668126925
0.4273504273504274,272.87434806186315,-185.05993416319592,5883750851.888306,-34.144624392939605
0.4926108374384237,248.07928508309695,-165.5511774190192,5549613534.818396,-33.7164398652234
0.5813953488372093,228.0387554386564,-150.46598015209798,5496209222.377182,-33.41788022504623
0.7092198581560284,207.60424239413513,-136.45565449043033,5543891600.028146,-33.31641475005085
0.8547008547008548,186.781489137049,-121.7409782066491,5380868262.843091,-33.09562058751935
0.9803921568627451,174.4881459397398,-113.91729893595196,5391784942.673726,-33.139135646322536
1.1627909680909227,165.16251328834687,-113.08837778356961,5900728705.280758,-34.399821616235975
1.42857102040828,149.0018483839897,-98.60144836630289,5775992710.141391,-33.494458355836755
1.6949149669635648,139.4927820467899,-84.11593606961605,5695822382.934329,-31.090515744114494
1.9607839292580533,123.85425054232732,-74.88331076957259,5201993843.084621,-31.157507088959864
2.3255808545160805,113.38162729735201,-67.4005890938732,5124445152.703036,-30.729695451562865
2.857142857142857,90.47821317565514,-57.178553340575135,4145373134.682027,-32.291222409716575
3.4129692832764507,85.58528466370556,-52.86457369579622,4374232651.83464,-31.702919449141127
3.937007874015748,78.38619227820743,-49.47460697485182,4284276435.0665793,-32.25867934382559
4.651162790697675,68.23736724715884,-50.29307340781927,4232946645.9732466,-36.39137565214274
5.6818181818181825,62.613768508751726,-46.72937732284493,4392589012.626551,-36.73440437241982
6.849315068493151,51.49306927094772,-48.3747281972766,4330136456.454085,-43.21153810176864
7.874015748031496,49.38909615741076,-40.628116862592876,4078702895.2538157,-39.44116135977193
9.345794392523365,40.52873880686685,-35.050127248792144,3398390726.6940536,-40.85395688291708
11.363640237604628,33.83750977960692,-31.76951315039106,3100485454.8587284,-43.19457955759233
13.698630136986303,30.82584586226518,-24.935761009357552,2727387477.2876143,-38.97022057494901
15.873020912070132,25.996479422893948,-19.379451491225762,2113633099.8722532,-36.703220171214234
18.51851851851852,22.760557696204547,-16.797294940331025,1876768775.7857747,-36.42733107247134
22.727267561984647,18.901090665307144,-13.88988017865593,1583661253.3589084,-36.311120407785154
27.027027027027028,16.624485262073648,-11.893115144035121,1430202241.768214,-35.579835645340495
31.25,15.87324864732751,-10.192745216141814,1408412254.3048575,-32.7058803998934
37.174721189591075,14.404491380549105,-9.631590554486833,1413679617.5754373,-33.768742335401186
45.45454545454546,13.031928291010107,-9.070819443601854,1451373685.2318444,-34.83968601883702
54.6448087431694,11.091109593392034,-7.335791386050833,1223789280.6705096,-33.48112277092832
62.893081761006286,10.308749382797473,-5.75906888532942,1110687182.2796154,-29.190273470365394
