period_s,Zdet_real,Zdet_imag,rho_det,phase_det_deg
0.003125,176.57450933676353,-135.3152002635551,19586952.414832894,-37.46420389538571
0.0037735849056603774,164.2751663359817,-115.68608784796432,19293848.001775295,-35.154026314502715
0.004366812227074236,151.3583865443371,-102.9290065428996,18529687.510013077,-34.21707497661177
0.005154639175257732,138.12442418592968,-89.40392268646937,17673376.993625186,-32.91380781044027
0.006289308176100629,124.14901774150682,-75.73595762886572,16846171.285307955,-31.384891890854686
0.007575757575757576,110.08221886424039,-65.14345766164611,15698801.087864095,-30.61581329241264
0.008695652173913044,100.87950503497616,-60.44820150595002,15231943.49313795,-30.930543604290634
0.010309280476140305,89.3665003934628,-53.87534277532049,14217511.480169842,-31.084025680931124
0.012658229450408792,78.92658555084026,-45.07533170701299,13244205.703563344,-29.730883915909924
0.015151519742884772,69.52801320609579,-38.338529722559585,12097114.902719518,-28.872837002286303
0.017543859649122806,63.36394210001355,-32.852114245609044,11319199.504552415,-27.40524996626965
0.020408159100375693,55.118252472442315,-28.091933082363987,9892198.27632547,-27.00642071989157
0.025,48.85546982275862,-23.94880384585036,9373482.768857041,-26.11395435636304
0.030303030303030304,42.95693258699587,-21.368750902517903,8834599.180650732,-26.44786126664097
0.03636363636363636,37.705539943777744,-18.246928252791573,8081092.678854537,-25.823838806664604
0.044444444444444446,32.47777074945068,-15.304893791720705,7255977.907547734,-25.231788622423707
0.05319148936170213,28.91883482613666,-13.700057023654846,6898400.040323863,-25.348864616870195
0.0617283950617284,25.847027902248342,-12.039038067020487,6356084.9403665885,-24.9751792654189
0.07299270072992702,22.990466555484165,-10.692377182865473,5943268.4281531405,-24.942136876374487
0.08928571428571429,20.050951252975274,-9.06747789882051,5476091.103570052,-24.33352133904119
0.1063830013580854,17.5874211252231,-8.073354357078326,5045801.8450781945,-24.657082001930007
0.1234568053650377,15.348255440007867,-7.337618390831185,4525204.584075756,-25.55130101554392
0.1449274942239147,13.696893740556773,-6.813210891108557,4295590.011805839,-26.447012756093553
0.17857139668367916,11.553443199202196,-5.9422665863327016,3817469.0040749903,-27.21805599132589
0.2127660027161708,10.116189132975018,-5.224967204936745,3493360.1892290656,-27.31615464200836
