period_s,rho_det,phase_det_deg
0.0017199859442748634,119668761.29778753,-68.25255508896578
0.00222000222000222,57876469.81775039,-74.11911662164484
0.002939965896395602,117695862.67607753,-80.63419820266998
0.004,175014121.08627322,-81.76331312099126
0.005260112566408921,222427120.21532714,-80.86671793077392
0.006669779230307477,275501567.6684772,-80.18255700512094
0.00909008271975275,370860075.6358958,-80.21642811714325
0.0125,482616632.46780455,-78.63512488812158
0.016670000666800026,592275073.5233321,-76.77719411765713
0.022230131208903436,712338809.1831816,-73.79076849928536
0.030779648496414173,914687622.575222,-71.39950654927593
0.08,1605627145.0959644,-59.8096458268959
0.106670102866247,1763519679.579852,-54.725979875246296
0.14546089283896024,1873830011.5191846,-51.227217372335424
0.18826010015437328,1866927491.8621101,-48.282690276201585
0.2461780852268531,1842805750.3945124,-44.35859885506938
0.3200409652435512,1772297348.2442682,-41.045028627358434
0.42671218263281413,1670096916.0717235,-37.825453493621595
0.5819028222286878,1480670163.6115453,-35.196001356913186
0.6321512105695682,1499582937.207742,-33.76987401894867
0.8533879501621437,1340496631.428998,-31.864440677708338
1.1377999795423563,1186699304.393286,-30.281693434857665
1.5516000099302403,1044527802.2940738,-29.51690839102999
2.0080998716422562,907307965.0867262,-29.081593610505518
2.6260000793052023,823470911.9326385,-29.956759861512822
3.413800013450372,727709660.8997546,-29.899955500167273
4.551700720215605,640680015.8762795,-30.777550622430393
6.206800667355208,610478938.7881325,-33.870643275453254
8.277302890516943,541840569.6532882,-34.65191176268433
10.926000384595213,480497797.67390066,-36.37080454969966
15.174999613037508,433005176.10209006,-38.00172874964844
21.012001004373648,429741143.4691845,-40.402411045336365
26.64300057735382,434841935.00740975,-41.616757573650446
35.237000541945065,420627809.7142888,-42.83294529732773
47.49400269480971,461395771.05240613,-43.994827901509396
64.25599588761627,458942063.6304437,-42.862486080552685
84.02697602038158,470504839.3617525,-41.59352166424679
112.05000298613258,471808326.3026843,-41.58612613668206
150.69000955374662,491986421.9087852,-38.78940868518384
198.63000910122702,452014205.3056392,-35.79328572505619
257.04998131246634,427563546.04851526,-33.355565733762106
336.15004662401145,402783916.17959625,-30.582655463614305
485.55003107520196,332779279.45300794,-31.692314334642713
647.2998856221102,326550860.27258223,-28.537260752599483
873.8600495653421,292927023.820347,-30.824952798373523
1165.100034323847,282838987.5228092,-20.955270332723043
1941.8999082646483,232704028.56125808,-26.916340555108263
