period_s,rho_det,phase_det_deg
0.0017200010320006193,14551010.582024325,-30.988345585737395
0.00222000222000222,9506152.958096392,-29.744016163985275
0.0029399996060400528,13567834.342931572,-29.287299205698535
0.004,12132542.841519412,-31.019547057514956
0.0052600018936006816,10718185.138555773,-32.23309005650141
0.006670001667500416,9961759.994464941,-33.50726162269196
0.009090000090900002,9495361.489158107,-36.62994135606614
0.0125,9292295.69521183,-38.30731752015617
0.016670000666800026,9000589.307480227,-39.66317545022437
0.022229978014551746,8211455.377151375,-40.866894137379404
0.03078002745578449,8551193.399510773,-42.05304622864233
0.08,7879430.291788494,-44.73586816036416
0.1066700004597477,7505183.65889742,-47.48205070354112
0.14546000417179292,7790167.345004522,-51.75078753940333
0.18826010015437328,7736729.746451893,-55.61873260254653
0.24617990334976994,8909504.255362635,-59.27434891243658
0.3200399409846349,10244245.484878838,-62.094201477708104
0.42671946608860406,11901790.644914666,-63.57424786051824
0.5818892781081616,14254919.002419742,-65.34047877529926
0.6321312304434401,14444884.344408667,-65.01719712843993
0.8533806675143581,17057587.777990106,-65.40586560914865
1.1378300147952036,19603001.34179811,-64.79249184388408
1.551589898653251,23311710.874640662,-64.60230371377698
2.0080889840455325,25966390.453320578,-63.220261185967246
2.6259676690860583,28096999.942197483,-62.311920765278515
3.4137615555828655,32628318.267201897,-60.714088196834616
4.551682074110487,33545208.70239123,-57.283243809847555
6.206823782066003,44433599.48029873,-53.47413947144966
8.277323444690925,45272718.407232784,-55.01950346671864
10.926080368095278,55923556.13345447,-54.37489962397129
15.175110148537012,49733541.489572376,-52.29502932515383
21.01166988145216,51382780.91035943,-51.70634456525546
26.64271664058789,53363798.03330781,-51.48535501760891
35.23719920645827,54645705.8684754,-51.566880155842306
47.49352900667284,60323989.744151816,-50.3676422959553
64.25620232992989,62401686.310320035,-48.19724554484441
84.02725844263878,67522930.87720604,-48.824661357956856
112.049199458892,69600636.81032777,-44.3188499955134
150.6868078672377,62444960.50138843,-42.51511302029794
198.63261309147825,74098768.14597726,-43.2296295711951
257.05421016238114,70752055.26909126,-36.25295612007007
336.14801269294895,68160452.12185594,-39.76026236411421
485.54767349832247,63604879.43870663,-41.48401325707604
647.2994666252395,51839960.00961164,-46.000219737174
873.8585223052388,98655351.15004589,-25.070981600519037
1165.1410310006743,70559272.67985627,-33.26303465784443
1941.902170852437,57783655.29260165,-33.642395602236135
2913.0653895787996,199831211.24228007,-3.6260053836639923
5377.963257755023,1258112233.922519,-16.22310471642494
