period_s,rho_det,phase_det_deg
0.003125,14791686.683771359,-43.40729325577662
0.0037735849056603774,16378445.42189234,-44.176730469346076
0.004366812227074236,15206854.633992061,-40.46302984452016
0.005154639175257732,16338971.071266524,-42.01344374187695
0.006289308176100629,15852643.412982626,-37.38070454687878
0.007575757575757576,16650153.285505187,-40.03084763627922
0.008695652173913044,16713445.490653677,-39.57801418973002
0.010309280476140305,16200440.610884584,-38.124194949490004
0.012658229450408792,15741434.193946928,-36.225877572974156
0.015151519742884772,14419525.228720723,-33.22424071362078
0.017543859649122806,13844443.788203225,-31.686672820454007
0.020408159100375693,11839917.48738509,-29.26597766498931
0.025,11533701.957891295,-28.777959595053964
0.030303030303030304,10531877.383280346,-24.28719441672591
0.03636363636363636,10045172.014694385,-25.42503800807329
0.044444444444444446,8852034.051193878,-22.199059973165156
0.05319148936170213,8054120.037892877,-24.40035369951969
0.0617283950617284,7244389.933601452,-17.179234468853345
0.07299270072992702,7120006.765040752,-23.549850342399303
0.08928571428571429,6466656.025532737,-20.112662932244557
0.1063830013580854,5899142.928701891,-22.364195194686804
0.1234568053650377,5443951.100760353,-24.458112992050722
0.1449274942239147,5047555.364642,-25.842091607640587
0.17857139668367916,4349469.219471497,-23.87248216030303
0.2127660027161708,3861014.185685725,-20.241859717432234
0.243902379536005,3505730.48157224,-21.856611162156778
0.2941175605536587,3268882.586811697,-24.039199027782626
0.35587188612099646,2968466.3717056876,-26.69668192350163
0.4273504273504274,2745948.2276671403,-28.27284970043194
0.4926108374384237,2489469.6674234997,-28.61133118938663
0.5813953488372093,2440452.702749203,-32.83047762565714
0.7092198581560284,2087694.6658677699,-34.89730121599696
0.8547008547008548,2205592.0798073215,-38.33311025505771
0.9803921568627451,2009609.0426939796,-42.55371489779976
1.1627909680909227,2111173.547913624,-43.6638603401238
1.42857102040828,2076560.1213814146,-46.580609507081135
1.6949149669635648,2125625.206269836,-49.495646971236134
1.9607839292580533,1889886.7352073367,-52.608757066396315
2.3255808545160805,1985968.1395623903,-54.454008026003635
2.857142857142857,2550669.4778994066,-58.31281876501432
3.4129692832764507,2914565.385989132,-61.84848554627681
3.937007874015748,3015036.870805338,-66.34237639002265
4.651162790697675,3253467.769959945,-68.13010329370458
5.6818181818181825,3966857.772193645,-70.87882215393316
6.849315068493151,4642863.039199724,-72.78360853490855
7.874015748031496,4808464.591839429,-75.70904053229407
9.345794392523365,6788465.461310473,-79.86789485224209
11.363640237604628,6964529.44742025,-72.25420050490689
13.698630136986303,7122707.511318425,-71.11848915589472
15.873020912070132,7286924.432208817,-72.35846708999921
18.51851851851852,7365208.531754969,-68.25565048205372
22.727267561984647,7855657.515465784,-68.65401304954854
27.027027027027028,8508619.146041738,-69.25407338656198
31.25,9353041.716731865,-68.23047029928863
37.174721189591075,10588437.004042683,-67.8189439288582
45.45454545454546,12371498.413840892,-66.3028312295797
54.6448087431694,13246325.814091578,-64.84519816647698
62.893081761006286,14290690.732561527,-62.76528316981879
74.6268656716418,16200169.731280262,-63.0904634762296
90.90909090909092,18114485.843574997,-61.59525905847708
108.69569943291279,20058353.01364868,-58.00839523939305
126.58229450408791,20850498.392775115,-57.7703830108283
149.25370906661058,20455979.376761533,-53.360845302407
181.81821487603906,24852241.41918934,-52.98018005022654
217.3913043478261,24850670.53844348,-48.84706051258356
250.0,23652613.746189818,-44.90069416488988
294.1175605536586,25943438.50312999,-40.20874500419433
363.6363636363637,21927779.332944877,-40.85555246902001
436.6812227074236,17893253.341626305,-35.50142569197387
505.0505050505051,25226223.650396354,-40.21269891414541
595.2380952380952,28063959.98066016,-42.14401877790235
729.9270072992701,19341930.94781263,-36.4884391825463
877.1929824561404,19479142.43208225,-40.033465508268755
1010.1010101010102,25710336.982420206,-12.637334050959664
1190.4760487528513,21259837.787027422,-21.346364110598387
1449.274942239147,15182976.898505833,-8.312318093317982
1754.3859649122808,123307930.22983466,-30.779018087206722
2000.0,53141639.66397208,6.160857696870999
2380.9518140590917,75705421.33381303,-37.06350607627092
2941.1756055365868,70159267.51455979,19.963859978577204
3496.5034965034965,242844984.05513906,27.539355624174483
4032.258064516129,148208001.55631495,42.31558639755831
4761.9047619047615,462729068.6565358,-8.910593741158229
5813.953488372093,178701541.8797535,42.49588725589518
