period_s,rho_det,phase_det_deg
0.003125,10675000.517737243,-48.679116314932514
0.0037735849056603774,11864758.643470695,-46.32678965344973
0.004366812227074236,12365468.841672905,-45.4718216480899
0.005154639175257732,12964030.806167483,-43.65943897228305
0.006289308176100629,13305738.622393375,-41.25300628730165
0.007575757575757576,13274715.652572377,-40.006383732876046
0.008695652173913044,13258071.896005988,-39.60653775737141
0.010309280476140305,12777161.711681886,-38.50058247291661
0.012658229450408792,12173761.461337706,-36.661591408378165
0.015151519742884772,11210782.048797421,-34.378897200714135
0.017543859649122806,10818705.159409607,-33.243368219874135
0.020408159100375693,9741124.821511285,-32.223089091197956
0.025,9170134.529275047,-31.828164339671215
0.030303030303030304,8595773.93618999,-31.465415908677095
0.03636363636363636,7937930.936498078,-31.180138031035042
0.044444444444444446,7188687.879710464,-30.970024018753104
0.05319148936170213,7172606.540347919,-31.071956825183978
0.0617283950617284,6593209.379436406,-30.994854677542527
0.07299270072992702,6333087.607421736,-31.240907657962424
0.08928571428571429,5932416.789696097,-30.71867702419502
0.1063830013580854,5359523.658980404,-30.93445023378763
0.1234568053650377,4907188.9698863,-32.3550367234787
0.1449274942239147,4554607.104940466,-34.422025028544255
0.17857139668367916,4281110.782790311,-35.9297089776629
0.2127660027161708,3912970.144754632,-38.382602984078225
0.243902379536005,3713855.4141544057,-39.917832215648595
0.2941175605536587,3624206.3957165666,-42.91127863364533
0.35587188612099646,3466609.739486626,-46.38189187726338
0.4273504273504274,3483482.5172718596,-50.48061686849375
0.4926108374384237,3557520.7651495486,-53.75832975697643
0.5813953488372093,3660734.6636471585,-57.314431181279176
0.7092198581560284,3936080.19785599,-61.64198248120249
0.8547008547008548,4388330.774714626,-64.69585092018487
0.9803921568627451,4755269.854379582,-67.15262404107273
1.1627909680909227,5343202.42245523,-69.82417826763131
1.42857102040828,6297589.681301978,-72.48676341728583
1.6949149669635648,7300454.716221899,-74.14767679946608
1.9607839292580533,8362966.834710463,-75.44097228192601
2.3255808545160805,9720324.117406186,-77.1182871002709
2.857142857142857,11847288.966085756,-78.25949099586586
3.4129692832764507,13948308.143355228,-77.89643187049609
3.937007874015748,15977419.943512494,-78.03979106922633
4.651162790697675,18701410.62288528,-77.37146145618472
5.6818181818181825,22488835.682037555,-76.43846179798554
6.849315068493151,25942809.941540454,-75.49856923269935
7.874015748031496,29920353.511278585,-74.68818404678467
9.345794392523365,35050768.55311613,-73.37386210506536
11.363640237604628,40061976.20741434,-72.18295883797582
13.698630136986303,44301947.27383527,-70.13916295672682
15.873020912070132,47059513.933242574,-68.19133343369951
18.51851851851852,52429137.91056798,-66.57235857712848
22.727267561984647,56119705.08442485,-64.56953172002582
27.027027027027028,58040357.88952623,-62.7807386583541
31.25,61237463.07644457,-61.09739080700007
37.174721189591075,64606057.239139564,-59.768735278996786
45.45454545454546,69892313.33182992,-57.57981618805401
54.6448087431694,70009818.79110038,-56.682034556666295
62.893081761006286,72508063.13005124,-55.45453327078171
74.6268656716418,75040838.305285,-54.77919837437761
90.90909090909092,78063724.870517,-54.0410899908722
108.69569943291279,79578431.1641621,-52.27152473324578
126.58229450408791,84622659.70438263,-51.82796757881941
149.25370906661058,83312653.68821669,-51.14169172335721
181.81821487603906,86783247.02827248,-48.839254218153066
217.3913043478261,88519612.51919301,-49.028985393663056
250.0,85567322.48099443,-48.209684629159135
294.1175605536586,86631756.17159827,-45.87256400098207
363.6363636363637,91343585.66354918,-44.820527941683025
436.6812227074236,93495403.50356881,-44.38654519984712
505.0505050505051,90635720.96876475,-43.27668157148677
595.2380952380952,88377299.44573408,-42.69631069461004
729.9270072992701,87433715.31928018,-39.52599017672919
877.1929824561404,85159114.80807336,-37.662961839916385
1010.1010101010102,89048046.98554541,-37.85128710273041
1190.4760487528513,83508972.21601191,-33.82727644208255
1449.274942239147,94878827.84506221,-35.43748167940188
1754.3859649122808,79491088.60035272,-36.274451504395984
2000.0,80158894.93995702,-33.81969050501071
2380.9518140590917,71785857.10987018,-13.55160446166822
2941.1756055365868,71767524.97999671,-33.548101837892204
3496.5034965034965,57905852.64036178,-36.84890035644081
4032.258064516129,56356183.17128616,-24.788118344287106
4761.9047619047615,57149407.89681717,-21.3682284380479
5813.953488372093,41238134.280733064,-8.996752263616488
