period_s,rho_det,phase_det_deg
0.003125,215703660.1964668,-70.46880124209329
0.0037735849056603774,239718298.66319957,-69.29954207878913
0.004366812227074236,262266077.88412684,-70.69545781724452
0.005154639175257732,289056449.6278861,-70.04026665478204
0.006289308176100629,326017858.8471752,-69.49104709203567
0.007575757575757576,375105249.8242996,-69.9724424625257
0.008695652173913044,424394632.72673273,-70.25142243356089
0.010309280476140305,452892887.3402905,-69.86303921816062
0.012658229450408792,505009816.98362994,-68.37875146141829
0.015151519742884772,555547932.0094066,-66.07695886228892
0.017543859649122806,616900335.179152,-65.26116065350553
0.020408159100375693,631050422.3123782,-63.10444866591567
0.025,713793917.6938549,-61.59131697224119
0.030303030303030304,798481000.5845507,-59.56195500815425
0.03636363636363636,858529780.4669898,-57.39111756044554
0.044444444444444446,913116789.2234299,-54.593347368891806
0.05319148936170213,1013239591.1125985,-52.11352661860296
0.0617283950617284,1013785639.7417402,-49.570614685611055
0.07299270072992702,1081920973.0541854,-46.243678936885836
0.08928571428571429,1107164106.6447158,-42.59025252031328
0.1063830013580854,1015695682.5218382,-39.849731206944476
0.1234568053650377,1017349966.0850958,-37.56210688885347
0.1449274942239147,1009364819.2489845,-35.201432233958585
0.17857139668367916,893588738.5726442,-32.11723163457325
0.2127660027161708,829355894.2868166,-29.30583811611029
0.243902379536005,767152863.6431453,-27.289224691835678
0.2941175605536587,719111552.4321126,-25.272494358010945
0.35587188612099646,623506530.8873643,-22.7799160565913
0.4273504273504274,565369069.3600947,-21.310316856654264
0.4926108374384237,513610789.4501147,-19.751438448167107
0.5813953488372093,452086943.2590469,-18.92263179498717
0.7092198581560284,388066039.3931311,-17.817338273412282
0.8547008547008548,348615964.0756535,-16.564437240356167
0.9803921568627451,310993892.6516783,-15.801631764998024
1.1627909680909227,271270156.4150333,-15.173358666745527
1.42857102040828,240618585.1935457,-14.865451260182605
1.6949149669635648,203052308.08678406,-14.00419012611919
1.9607839292580533,195218061.5556585,-14.036969216869489
2.3255808545160805,168736811.39610758,-13.68860616537907
2.857142857142857,151144265.3224473,-11.419733704784917
3.4129692832764507,120840807.40362799,-11.08582889943909
3.937007874015748,123129651.23563734,-10.718662827248759
4.651162790697675,108139140.54691866,-14.543724730911931
5.6818181818181825,88896202.03915054,-12.063199953016433
6.849315068493151,74302687.83652459,-12.068011078943345
7.874015748031496,70888242.84282869,-11.035920938329188
9.345794392523365,59745112.21791484,-11.292906446819517
11.363640237604628,51296864.72874184,-10.965177492238674
13.698630136986303,44172913.64028577,-10.728325981867911
15.873020912070132,39407696.671298146,-10.626468923736295
18.51851851851852,33866293.71378955,-11.52171923672065
22.727267561984647,29384211.627936058,-10.983419743511096
27.027027027027028,25132113.4866757,-12.633949773994487
31.25,22722358.54016604,-13.940988299740654
37.174721189591075,19712563.286307316,-13.507942870981054
45.45454545454546,16826426.81478903,-14.44438846824339
54.6448087431694,14611046.45348969,-15.65974276904832
62.893081761006286,13623533.621575868,-16.96864892634979
74.6268656716418,11755979.373361887,-18.241034563710258
90.90909090909092,10533482.184101362,-20.145677016670483
108.69569943291279,8657901.1156,-21.570970716703897
126.58229450408791,8355481.492010697,-23.085591403852504
149.25370906661058,7687785.004428299,-24.627193985610077
181.81821487603906,7218576.429008275,-28.156985094374377
217.3913043478261,6838536.331107885,-30.17103529019855
250.0,7250498.1840790855,-31.26520037476088
294.1175605536586,5802218.448910073,-35.52071474003865
363.6363636363637,5840253.395057107,-33.42473090926712
436.6812227074236,7143217.020161273,-63.99735043543845
505.0505050505051,9672799.797202969,-60.504028588902344
595.2380952380952,2529225.058609797,-35.41553741770085
729.9270072992701,12292296.726740086,-32.86490460730012
877.1929824561404,17737914.755206466,-13.648826880638333
1010.1010101010102,1235194.216161209,-46.87711219942106
1190.4760487528513,8230029.9526979,-70.44576224285257
1449.274942239147,3802791.263503623,-25.01425277049494
1754.3859649122808,489890.55986640416,0.6682238347921613
2000.0,3537355.9244154184,4.801091398099008
2380.9518140590917,401030.57671423396,-24.70484472113181
2941.1756055365868,1907634.4811404787,-29.929878946942374
