period_s,rho_det,phase_det_deg
0.0017200010320006193,5805499.059140849,-39.433998815502385
0.00222000222000222,3615814.4596660673,-48.36200582654407
0.0029399996060400528,6020933.927890987,-44.83549713735814
0.004,5662156.566274101,-47.84205428360061
0.0052600018936006816,5198007.785396918,-49.603701683173156
0.006670001667500416,5066968.1323682675,-53.3810114267744
0.009090000090900002,5401477.693552988,-60.18815811563767
0.0125,6476784.836296847,-65.57362026844348
0.016670000666800026,7559924.100863161,-69.75527349435568
0.022229978014551746,9068249.81778834,-74.11895590739475
0.03078002745578449,11998648.175406592,-77.04228939675733
0.08,30033477.32732178,-80.50970759294124
0.1066700004597477,39225906.36704523,-80.06154016723086
0.14546000417179292,51884944.15880589,-80.01299659219593
0.18826010015437328,63526877.09142745,-79.92492888591647
0.24617990334976994,79366123.38472103,-78.79099067361152
0.3200399409846349,97848172.06305765,-77.95473019240615
0.42671946608860406,121612238.64615454,-76.4412308418785
0.5818892781081616,155401322.95216063,-74.91279152110164
0.6321312304434401,164340830.39574403,-74.0376905474193
0.8533806675143581,202005152.2026786,-72.24166269844258
1.1378300147952036,247035438.3572754,-70.80502588317894
1.551589898653251,322925110.1479144,-71.35205486631779
2.0080889840455325,498545126.60964245,-74.25067051393142
2.6259676690860583,618219940.3851693,-74.78875060877407
3.4137615555828655,690551951.2078236,-72.97369762513647
4.551682074110487,682417550.5018469,-69.91678910008245
6.206823782066003,635375927.5106245,-65.59172726315356
8.277323444690925,635473982.3136005,-61.96504061868484
10.926080368095278,649935782.0572116,-58.50844937242881
15.175110148537012,675678770.1805588,-55.8366800900481
21.01166988145216,758487563.5768586,-53.06903247581731
26.64271664058789,805374052.2455971,-49.744951367031554
35.23719920645827,822956637.6744226,-45.936732654387335
47.49352900667284,804613299.4451764,-41.49913210105304
64.25620232992989,699544387.3778232,-38.85637749512679
84.02725844263878,684874381.9401038,-33.87964092457107
112.049199458892,609323019.0068028,-32.01879297627881
150.6868078672377,492056270.2886016,-28.087403399713303
198.63261309147825,471613635.34128547,-26.528661305151058
257.05421016238114,422201128.83652884,-25.963908684604462
336.14801269294895,438920051.9783836,-23.266252917925367
485.54767349832247,257182045.17342615,-30.764397512958876
647.2994666252395,204972632.74880436,-30.80985621463633
873.8585223052388,204314902.8709361,-35.715954928667706
1165.1410310006743,190206088.86278185,-34.56488420521824
1941.902170852437,103938994.91974229,-21.379983517526156
