period_s,rho_det,phase_det_deg
0.0017200010320006193,1110715.2397859446,-56.720082131837266
0.00222000222000222,1654261.3269710857,-38.64924404369425
0.0029399996060400528,1814829.3706471669,-31.898248077437625
0.004,1519237.384471924,-30.967130708821905
0.0052600018936006816,1289440.0851302505,-31.570457449072887
0.006670001667500416,1150283.6843415375,-32.39716622282846
0.009090000090900002,1069848.8094250786,-35.43523369317548
0.0125,1018873.7745698752,-39.54413449603641
0.016670000666800026,967963.6098702948,-41.56384511366928
0.022229978014551746,893480.4737166599,-43.288965252368875
0.03078002745578449,952286.2601567896,-45.388177976968834
0.08,1033651.338330276,-49.42099486110246
0.1066700004597477,992508.1804172386,-51.36047036710564
0.14546000417179292,1070264.5747493012,-55.04034772143601
0.18826010015437328,1070020.1508689069,-59.53648655577675
0.24617990334976994,1160224.3407725063,-63.51442230264632
0.3200399409846349,1311338.999397367,-67.50288065245019
0.42671946608860406,1565614.6546871248,-71.60791438069462
0.5818892781081616,1993715.1334366768,-75.34692241885989
0.6321312304434401,2111319.4728741073,-76.00953170192996
0.8533806675143581,2743646.6595864473,-78.76752382162411
1.1378300147952036,3576462.5465862127,-80.3563393040685
1.551589898653251,4835236.522625605,-81.81111943885044
2.0080889840455325,6143064.919754004,-81.42759835973541
2.6259676690860583,8042753.864814834,-81.32994036616644
3.4137615555828655,10260640.059988089,-80.06471837011802
4.551682074110487,12958330.018784711,-78.13676482655653
6.206823782066003,17040363.45976576,-76.05511681946633
8.277323444690925,20819172.24833257,-73.75125167499513
10.926080368095278,26083808.379724767,-70.46946523491663
15.175110148537012,28875618.78975484,-66.64572956496313
21.01166988145216,33658684.63037987,-61.18856334329002
26.64271664058789,35514981.571912825,-60.954170423684644
35.23719920645827,36932691.02882225,-59.445555737127414
47.49352900667284,40141690.85124977,-58.765209446583
64.25620232992989,41883155.10699519,-58.2785661585782
84.02725844263878,46575522.178008094,-58.21460299781029
112.049199458892,53318846.31988707,-58.28343068648918
150.6868078672377,57705627.64566366,-56.71345567664604
198.63261309147825,64815386.11079543,-56.10654560523535
257.05421016238114,67895373.26918246,-55.07731484950013
336.14801269294895,69481273.60862562,-56.17909850071343
485.54767349832247,79269407.12670738,-49.98838344525944
647.2994666252395,77824455.5377954,-50.216165077875026
873.8585223052388,79597024.99122433,-51.75194543642917
1165.1410310006743,88730228.60721909,-37.354117476543514
1941.902170852437,64583362.171939544,-39.42714511516403
