period_s,Zdet_real,Zdet_imag,rho_det,phase_det_deg
0.003125,98.14835981872427,-427.00454152237455,75977422.70681636,-77.05522423433976
0.0037735849056603774,79.04399646448982,-472.9937603953653,109910089.93143784,-80.51272819147502
0.004366812227074236,72.47133675412401,-407.271426420231,94641346.47789441,-79.91019339859987
0.005154639175257732,32.25654818344787,-381.72800850274837,95809074.51589236,-85.16990146715665
0.006289308176100629,32.550151381882095,-381.16623967449306,116572901.00879477,-85.11899964354444
0.007575757575757576,18.53609072880087,-381.0645880915256,139656098.52763683,-87.21516156208095
0.008695652173913044,9.835285615821808,-386.8182816080634,164894847.356705,-88.54350480905605
0.010309280476140305,0.2771735689268571,-390.5010409782705,199105489.28174084,-89.9593320596909
0.012658229450408792,3.317689642710429,-395.55812668250894,250861725.3150213,-89.5194507604279
0.015151519742884772,8.533939411526903,-395.01414519813795,299567306.006616,-88.76236669963518
0.017543859649122806,13.483561759146806,-394.3403234311992,345927623.6186389,-88.04166535098584
0.020408159100375693,26.93667159152568,-413.3619999896335,443522347.1596777,-86.27160081259518
0.025,31.0079173621179,-400.7285048650006,511497279.2521585,-85.57533436594622
0.030303030303030304,38.837821996881566,-402.3232273960321,627010623.3321704,-84.48610138357266
0.03636363636363636,50.980277686815974,-399.754214234564,747945703.2994306,-82.73235338707669
0.044444444444444446,65.95155208919928,-392.2722546032669,890653332.7777348,-80.45628830803578
0.05319148936170213,79.49093493187766,-394.4706319215803,1090859218.9651906,-78.60674105167351
0.0617283950617284,93.57944348106204,-383.9765388795482,1221132088.6791713,-76.30337290326415
0.07299270072992702,106.64733694460296,-375.23383470459135,1406793652.4253914,-74.13401934192832
0.08928571428571429,129.1156232985993,-355.5061753304177,1617695430.1732213,-70.03957925342736
0.1063830013580854,144.39565350742126,-337.3313564003059,1814115068.0641768,-66.82651530451818
0.1066700004597477,144.7935536042508,-334.58574220431143,1795640307.997349,-66.59922491751715
0.14546000417179292,152.96293861093307,-302.567717065354,2117597958.6529615,-63.181146477043704
0.18826010015437328,156.8964865834756,-263.48735467448796,2242285155.9930463,-59.22784422964921
0.24617990334976994,159.89560700918403,-222.5754429824584,2341747153.122657,-54.30697343655029
0.3200399409846349,157.4951976547303,-191.26511826659362,2488235285.5890737,-50.530619925429335
0.42671946608860406,149.06389213178662,-158.7615531642094,2563082454.5899515,-46.80443607224056
0.5818892781081616,131.83830591056963,-127.02680351192414,2470117860.8604984,-43.935171135233695
0.6321312304434401,126.96489577682414,-114.3483263473534,2337412079.491086,-42.00713210207573
0.8533806675143581,112.8446149066869,-89.22608626030106,2236777207.9976196,-38.33337500069038
1.1378300147952036,98.5450737781829,-69.13899200583913,2088314737.007301,-35.05340933279132
1.551589898653251,82.66342257331021,-51.18962966011827,1857741722.239333,-31.76801527691504
2.0080889840455325,71.84831690991112,-38.235784174382374,1684704601.461008,-28.020733460274688
2.6259676690860583,57.812379112705536,-27.98492922005326,1372045758.361219,-25.82998331300103
3.4137615555828655,47.57457152878714,-23.091281664915616,1209109395.912346,-25.890556724748336
4.551682074110487,39.40923549602595,-15.983228190932968,1042588787.0366951,-22.076029159028682
6.206823782066003,30.42241763100445,-15.791016141830466,923576933.213198,-27.431955558184647
8.277323444690925,25.845223483759053,-13.337726999734683,886755911.69978,-27.29652058976585
10.926080368095278,22.2316729561964,-8.360268829875954,780661232.3658972,-20.60887938031022
15.175110148537012,14.835641127219121,-9.227072248156315,586646666.1333439,-31.87967247352388
21.01166988145216,11.813103769652377,-7.712502328155968,529656113.955094,-33.13959088712908
26.64271664058789,9.580607586603804,-6.901606038999788,470451111.2263539,-35.76794001690412
35.23719920645827,8.097456609193827,-6.418592573845048,476485001.6332447,-38.40272708231549
47.49352900667284,7.007850400076988,-5.793193383388578,497276799.9256775,-39.57958467560753
64.25620232992989,5.861869882808363,-5.42230274361022,518911486.92324966,-42.769210447065944
84.02725844263878,5.162937266297403,-4.849714347234949,533978133.50130826,-43.208216835304306
112.049199458892,4.564631402278845,-4.380759847697216,568029855.6996689,-43.82245723738034
150.6868078672377,4.304160033378419,-3.58763047941249,599200376.1676574,-39.81209458228817
198.63261309147825,3.5854281221217827,-3.1798825373227433,577782130.9891285,-41.56951773568204
257.05421016238114,3.226493710990225,-2.421363744556874,529797202.0042447,-36.8868671544889
336.14801269294895,3.02552076909575,-2.0971412489374535,576948532.7019992,-34.72778443274895
485.54767349832247,2.31907602869254,-1.4141409326251781,453706908.8895722,-31.374269133362773
647.2994666252395,1.7526042388325478,-1.133899740853204,357221826.20128536,-32.90205595184868
873.8585223052388,1.7234920313330664,-0.9398028928915867,426505014.7753617,-28.603191212790477
1165.1410310006743,1.3514052304690958,-0.7132810652126623,344578296.5202237,-27.82540341146461
1941.902170852437,0.9382332903723272,-0.5102185246052948,280525763.2338223,-28.537689837671376
