period_s,rho_det,phase_det_deg
0.003125,4906052.348873727,-22.302838393896387
0.0037735849056603774,4525496.973284775,-21.463153399082678
0.004366812227074236,4136036.623858871,-22.258680828408547
0.005154639175257732,3837375.726927366,-22.74099769904548
0.006289308176100629,3563245.4643965825,-22.894616310634756
0.007575757575757576,3266873.0629247962,-24.64186670634349
0.008695652173913044,3073038.577102651,-25.55479632260811
0.010309280476140305,2795827.955304648,-26.36697115217945
0.012658229450408792,2560825.160928397,-26.110974309706595
0.015151519742884772,2300990.83596148,-25.888722954275067
0.017543859649122806,2192338.243677164,-26.10058125793836
0.020408159100375693,1868273.088777433,-25.964050754993362
0.025,1786335.5735766012,-26.70070524747141
0.030303030303030304,1646817.4166670665,-27.14267602950243
0.03636363636363636,1528756.8171124968,-27.493872190567718
0.044444444444444446,1366117.7414586789,-28.430000912352515
0.05319148936170213,1302792.9761655978,-29.553193647747396
0.0617283950617284,1181546.5326491462,-30.80904964745717
0.07299270072992702,1102862.5217890483,-32.46078791814803
0.08928571428571429,1043449.1480869162,-34.67416795120234
0.1063830013580854,940177.1180015741,-38.161736900378216
0.1234568053650377,893973.5054947217,-41.61002745926466
0.1449274942239147,892906.9165806384,-44.99985512192532
0.17857139668367916,902676.4666737398,-49.60666278864556
0.2127660027161708,999313.4390690803,-53.15416291842909
0.243902379536005,1023551.4273414185,-55.291819244471554
0.2941175605536587,1107861.9683596329,-58.16646775478918
0.35587188612099646,1226210.350328765,-60.66339394889414
0.4273504273504274,1389624.7459358496,-61.89020550208105
0.4926108374384237,1528396.3304674777,-62.922280585738854
0.5813953488372093,1673210.2416916506,-64.32931703907194
0.7092198581560284,1893165.1245376829,-64.38797975532066
0.8547008547008548,2143084.1644452484,-64.54336914299137
0.9803921568627451,2332038.2046887376,-64.70057265598768
1.1627909680909227,2544493.620852371,-64.00677164724418
1.42857102040828,2865124.6248202715,-63.981751943945774
1.6949149669635648,3159983.7999515967,-62.95874918742172
1.9607839292580533,3347353.7521821186,-62.76316427010721
2.3255808545160805,3602375.0431368253,-61.40594311955924
2.857142857142857,4035942.346095523,-59.54784529779405
3.4129692832764507,4501898.799047289,-58.898477994799855
3.937007874015748,4276773.250722916,-58.130041349070765
4.651162790697675,4649527.770517934,-57.27920998754869
5.6818181818181825,4802304.378227903,-55.27209145401962
6.849315068493151,5396857.418125959,-55.64518325663088
7.874015748031496,5511929.565060857,-54.7407669940493
9.345794392523365,5501567.667500831,-52.75890078472319
11.363640237604628,5516647.572646974,-50.923795488725936
13.698630136986303,5504571.269504442,-50.677583747902915
15.873020912070132,5608142.9817531975,-48.72875348293021
18.51851851851852,5478655.075536635,-47.735457151077064
22.727267561984647,5309743.450885436,-46.684248050739825
27.027027027027028,5062839.021240015,-46.201441754465115
31.25,4890104.919364034,-46.49602081042998
37.174721189591075,4670952.285611453,-46.50325063793448
45.45454545454546,4621754.838772944,-48.020295068501746
54.6448087431694,4617419.846396046,-49.54396226939365
62.893081761006286,4639661.49808124,-51.67307629383023
74.6268656716418,4880960.436413348,-53.33864735766459
90.90909090909092,5276880.138195743,-54.29630795547767
108.69569943291279,5415878.7356323935,-55.143373906000846
126.58229450408791,6018050.712858624,-55.70765981840823
149.25370906661058,6270117.450590639,-56.040580895586416
181.81821487603906,6860739.183510075,-55.99781546479136
217.3913043478261,6987163.172743609,-57.04615588078591
250.0,7219827.937477417,-57.26614247419366
294.1175605536586,7785776.504918759,-55.16071845512586
363.6363636363637,8804538.217264244,-55.40393498126836
436.6812227074236,9126536.587792095,-52.54423498375464
505.0505050505051,8767169.124326102,-52.66583182859799
595.2380952380952,9794981.96426907,-52.544383047513904
729.9270072992701,8544187.708048185,-49.64741029597319
877.1929824561404,9015204.855900425,-43.551642663294935
1010.1010101010102,9122248.486298397,-49.07332607813816
1190.4760487528513,10562515.544373741,-48.74408565183762
1449.274942239147,12695843.431118492,-39.177467546270144
1754.3859649122808,15114765.876409875,-41.00716791867569
2000.0,6238563.65957251,-30.85758704374135
2380.9518140590917,17061054.841507353,-40.1744270818043
2941.1756055365868,21714012.682340834,-37.95270072163292
4761.9047619047615,2146742.491612154,-11.736044041496056
5813.953488372093,4215303.4168848675,-6.432432079813278
