period_s,rho_det,phase_det_deg
0.29426997504590613,2104580569.5782647,-39.134161399770406
0.3792806563072477,2005519250.9528377,-37.734465409001444
0.5019903919038989,1869672396.6705942,-35.62700726219763
0.6827010383882794,1720946700.4164171,-33.835516649981706
0.8982869667543995,1599558446.7833905,-32.29410671913799
1.1378300147952036,1486102515.569088,-30.619694666257157
1.551589898653251,1387377334.2584472,-30.088447988479643
2.1336018826903014,1124607623.2542858,-27.53665248190843
2.8447956313042453,995344445.2435222,-27.45374864971831
3.793065517620686,858826392.3940637,-26.736510808822185
5.2519353381721166,752099735.2509809,-28.114840258824028
13.657599340938887,476688297.3743601,-32.68200278442634
18.21012996751859,390850362.58099675,-33.32890228503825
24.832011442590876,372181942.53526914,-35.62182906390062
32.12799794380813,339560267.20443296,-37.45401227697255
42.01345270755696,345013572.62286067,-39.38025204531085
54.617649147145414,331405912.27462333,-40.24546735931995
72.82366477810629,328479667.5842985,-41.353197380353905
99.30486593843098,342373611.43637407,-41.43650073299935
161.848988743241,340308627.1663362,-37.659009769807234
218.49608706282484,308477792.43131065,-37.201692322486
291.32784024979617,272497602.09736025,-34.60036199978875
397.2652261829565,267465154.73949194,-31.67735569232335
514.0331037318804,245350170.40647277,-30.52210956923655
672.1966040627563,266181812.65905434,-27.58847456635102
873.8585223052388,193780450.04700875,-46.26481457683585
1165.1410310006743,231164985.8055681,-28.687195854679263
1588.829890338961,148517118.758437,-3.4242640444986527
