period_s,rho_det,phase_det_deg
0.0017200010320006193,6190476.946552469,-37.98579763891923
0.00222000222000222,4504821.554135931,-40.888153080209115
0.0029399996060400528,5755159.598728427,-37.6245958649269
0.004,4842581.772363179,-39.380329551843005
0.0052600018936006816,4242196.592125642,-42.27095102847259
0.006670001667500416,4030526.2116169385,-46.045121356512034
0.009090000090900002,4171244.3686770624,-52.524103353610215
0.0125,4674152.170775924,-57.800206311339466
0.016670000666800026,5210314.026481431,-61.28586448686889
0.022229978014551746,5876722.517127577,-63.93718276721688
0.03078002745578449,7191827.929544141,-65.76647396064538
0.08,12865735.752468778,-69.01791590072021
0.1066700004597477,15065265.89380855,-69.53087008129928
0.14546000417179292,17857801.73607977,-70.7127951204166
0.18826010015437328,20342549.08642903,-72.32278299281417
0.24617990334976994,24437353.02533052,-72.98835600893578
0.3200399409846349,28743568.88000112,-74.12764708665145
0.42671946608860406,35318167.38423062,-74.6201399068792
0.5818892781081616,44141541.63299893,-74.62991671015041
0.6321312304434401,47127239.88408013,-74.49451975684644
0.8533806675143581,58692799.78160029,-74.13081094195407
1.1378300147952036,73109031.00782883,-73.2323758475006
1.551589898653251,91596658.2335934,-71.96007028350267
2.0080889840455325,108893615.66367766,-69.88596288267617
2.6259676690860583,122538024.43316564,-69.60796400696236
3.4137615555828655,142165085.3886438,-65.92787412668498
4.551682074110487,164412394.59230012,-65.65623888662276
6.206823782066003,196683852.68027788,-73.68337730860472
8.277323444690925,166855139.89304674,-62.256688245469384
10.926080368095278,238329268.90292364,-68.23234688001827
15.175110148537012,239712943.66665295,-57.71711101079125
21.01166988145216,266670020.69536307,-54.658818919602766
26.64271664058789,279219181.5146571,-53.29739887668152
35.23719920645827,271374669.78495115,-52.02519416833672
47.49352900667284,286018848.76845586,-51.25104441909798
64.25620232992989,294191978.29424673,-50.686226298216
84.02725844263878,324537456.95350164,-50.166242978926775
112.049199458892,325245353.8629182,-48.66213087347037
150.6868078672377,344767073.81865245,-44.888759487565935
198.63261309147825,381282313.8146622,-43.88206340682019
257.05421016238114,334746375.7941367,-40.26040764206996
336.14801269294895,322953895.2688834,-40.23826042840416
485.54767349832247,307012080.6067061,-37.03683743365308
647.2994666252395,225765902.13021365,-44.43696141832686
873.8585223052388,211488850.86046138,-42.66476653301642
1165.1410310006743,440819169.2265498,-40.233269109284414
1941.902170852437,286229840.7855893,-46.205475666647835
