period_s,rho_det,phase_det_deg
0.003125,4075983.1273273984,-29.301609451010055
0.0037735849056603774,4072179.943655916,-30.822528773889008
0.004366812227074236,3986909.261643398,-33.09127706234284
0.005154639175257732,3930135.2318400103,-35.15806712669854
0.006289308176100629,3924772.088105401,-36.58994483604406
0.007575757575757576,3909429.6418102626,-39.201437092856814
0.008695652173913044,3963074.7121922267,-41.46878268703997
0.010309280476140305,3947593.33158054,-43.58694098944474
0.012658229450408792,3982410.466762776,-44.59308323954447
0.015151519742884772,3891668.4921701876,-44.765174176313856
0.017543859649122806,3993941.7438589274,-45.25108012032654
0.020408159100375693,3964572.9319558092,-46.10388657159675
0.025,4031193.867709776,-47.216447074988366
0.030303030303030304,4170500.143948517,-47.71918665425087
0.03636363636363636,4203102.627746008,-48.07906024444879
0.044444444444444446,4248373.272398837,-48.499412235194555
0.05319148936170213,4516953.091884109,-48.85013572765968
0.0617283950617284,4515221.697207868,-49.00055614448601
0.07299270072992702,4603818.905467356,-49.3903185373728
0.08928571428571429,4745634.837774589,-49.25004472294232
0.1063830013580854,4716752.239281339,-49.833914950625065
0.1234568053650377,4616745.160589405,-51.44265287964371
0.1449274942239147,4636648.253606202,-53.501790613346294
0.17857139668367916,4888320.918733677,-54.564405643488456
0.2127660027161708,4933519.780717489,-56.6505332750446
0.243902379536005,5067794.128457472,-57.48493699560715
0.2941175605536587,5359534.366869658,-59.55976972006837
0.35587188612099646,5598989.627723117,-61.60868848835514
0.4273504273504274,6022684.380289553,-64.12633531434417
0.4926108374384237,6450638.963110837,-66.15681437674465
0.5813953488372093,6945945.624869627,-68.26469711006638
0.7092198581560284,7831041.082450661,-70.53769210158815
0.8547008547008548,8971597.940430425,-72.21941428940806
0.9803921568627451,9881389.444567831,-73.57767227896936
1.1627909680909227,11286258.864842175,-74.94130432674173
1.42857102040828,13454063.152931688,-76.26959151165296
1.6949149669635648,15468288.98360867,-76.60433499732412
1.9607839292580533,17495848.202753708,-77.21761073243522
2.3255808545160805,20151703.72230452,-77.44721686785789
2.857142857142857,24079268.55687984,-77.56565016678681
3.4129692832764507,27582271.79705983,-77.11036827946002
3.937007874015748,30895265.425457593,-76.88148797246649
4.651162790697675,35584362.88864519,-76.82048892181146
5.6818181818181825,42080625.31716281,-76.29169134317233
6.849315068493151,48486249.78096781,-75.72392715617707
7.874015748031496,53827717.25504882,-74.87769631122507
9.345794392523365,61816220.13341949,-73.93878432013636
11.363640237604628,71412538.63544999,-72.74494553398574
13.698630136986303,78311663.84988363,-71.2315869375498
15.873020912070132,84388538.62173763,-70.16914796472486
18.51851851851852,92756949.64311492,-68.95519717937573
22.727267561984647,101468595.09247868,-67.49066920045377
27.027027027027028,108024677.26920336,-66.46365265196185
31.25,114665406.30687834,-65.77254700781172
37.174721189591075,125716402.14230224,-64.79714288002675
45.45454545454546,137542338.49414563,-64.27353703441916
54.6448087431694,146629291.7779818,-63.43751691500225
62.893081761006286,156285841.5150605,-63.11843645464086
74.6268656716418,168085590.26156816,-62.3633607849691
90.90909090909092,183102543.632261,-61.32604907486249
108.69569943291279,194718383.04071146,-60.410195333230696
126.58229450408791,205495524.0533738,-59.514113379911564
149.25370906661058,221280765.6531519,-57.91561595395939
181.81821487603906,233551974.03242922,-56.77182117146924
217.3913043478261,244486923.38090923,-55.34442712744293
250.0,251986399.79045048,-54.04949215553794
294.1175605536586,266004135.23685536,-52.521741313266034
363.6363636363637,272397668.2483695,-51.242009289326944
436.6812227074236,274175786.4748297,-49.73539603218066
505.0505050505051,282673711.0863296,-48.83745768185506
595.2380952380952,280018017.0370959,-46.94324169298906
729.9270072992701,285823736.48233366,-46.058285513739655
877.1929824561404,279447598.0688425,-44.50962732193939
1010.1010101010102,284031319.77086693,-43.24390534481445
1190.4760487528513,289104468.880039,-41.914651948823426
1449.274942239147,282312169.90230364,-40.006083443727526
1754.3859649122808,269263377.37383944,-39.076940999452916
2000.0,259006499.71737653,-39.558061286290524
2380.9518140590917,250919543.21444258,-34.6106782692129
2941.1756055365868,236873805.81098044,-32.61163794694364
3496.5034965034965,240571771.0008477,-32.300455095675666
4032.258064516129,223238979.29103503,-32.975884630787434
4761.9047619047615,199241211.74156967,-32.38626767787669
5813.953488372093,230638063.34846762,-29.92357323592494
6993.006993006993,223916917.21967313,-29.129501002308267
8064.516129032258,182756127.20401326,-19.88968379786521
9523.809523809523,120914990.54923742,-28.65262747995636
11627.909680909228,91627534.88313068,-14.355829044449518
