period_s,rho_det,phase_det_deg
0.003125,221830548.1839333,-74.95426234231257
0.0037735849056603774,223745746.60400996,-73.34721230588453
0.004366812227074236,253497753.00509813,-74.09374595013797
0.005154639175257732,296724972.83579934,-76.78038504418552
0.006289308176100629,330385671.5797095,-75.81127616155112
0.007575757575757576,391392054.53912604,-77.04759315722882
0.008695652173913044,446540245.19225025,-78.35329616289843
0.010309280476140305,554753163.7798064,-79.99081086891087
0.012658229450408792,612623093.1600655,-78.45471481917446
0.015151519742884772,701452573.9797182,-77.44129175202833
0.017543859649122806,818322526.0359519,-76.83827011543703
0.020408159100375693,970914951.7475994,-76.80090432070389
0.025,1065096635.9651673,-75.53713185102825
0.030303030303030304,1249803442.7422712,-74.49340792722423
0.03636363636363636,1408981633.9730456,-72.64992502692931
0.044444444444444446,1579839117.4725418,-70.34627304044025
0.05319148936170213,1893216857.5638723,-69.18308427965368
0.0617283950617284,1999115599.730002,-67.20583000104887
0.07299270072992702,2297261354.0492415,-65.70794103758759
0.08928571428571429,2580844797.669048,-62.82152137044837
0.1063830013580854,2752894311.332155,-59.90736269585025
0.1234568053650377,2829153548.2622786,-59.18074656097773
0.1449274942239147,3259183970.234164,-58.352533057001274
0.17857139668367916,3756502687.712757,-57.91003243581049
0.2127660027161708,7861556107.849782,-67.80916047980027
0.243902379536005,9679254065.436348,-69.52018099767652
0.2941175605536587,11626669372.101978,-70.4502356382821
0.35587188612099646,13026251361.32459,-69.56770053466185
0.4273504273504274,19126039168.938423,-76.55038839554916
0.4926108374384237,37755833375.48303,-84.94296605896
0.5813953488372093,49994088658.12284,-86.37709607023068
0.7092198581560284,58682392234.085724,-86.21723859284688
0.8547008547008548,84203422946.62347,-86.80748644316233
0.9803921568627451,87446752216.67609,-87.1102884647851
1.1627909680909227,113077800316.50502,-87.49203655689284
1.42857102040828,162381158693.8334,-88.39821263638684
1.6949149669635648,199753056308.7318,-87.96628687346299
1.9607839292580533,234969856473.2746,-88.95348178009905
2.3255808545160805,270395705944.4243,-89.43740270325394
2.857142857142857,308985539105.216,-89.22606726675704
3.4129692832764507,369348684093.5427,-89.00525813632746
3.937007874015748,459548958995.8674,-89.80475208034814
4.651162790697675,553274878884.4316,-89.96770354241316
5.6818181818181825,631108888684.918,89.73823031249746
6.849315068493151,784813367693.5559,-89.57892283398967
7.874015748031496,957268606231.3105,89.98200984633365
9.345794392523365,1090116384593.8422,89.32526644577669
11.363640237604628,1236746870365.7644,-89.25389794158644
13.698630136986303,1017292296515.3044,-85.97613120464534
15.873020912070132,1109673111635.9521,-85.9107485796728
18.51851851851852,1138294196019.5574,-85.48907363500109
22.727267561984647,990382240015.4519,-84.36169690704779
27.027027027027028,657908576462.5386,-73.00813209438036
31.25,1002265543542.9336,-55.392217809111514
37.174721189591075,492132673832.47626,-86.14727598152946
45.45454545454546,581594733537.5066,-67.93916151332968
54.6448087431694,395014015647.9975,-67.25285381945493
62.893081761006286,664778073795.2273,-45.44214796309905
74.6268656716418,1767886548556.4282,-53.609902122350036
90.90909090909092,2063809304361.5347,-70.83693579052613
108.69569943291279,2676299008699.9536,-65.21384676830415
126.58229450408791,363112213254.89136,-79.57371928953515
149.25370906661058,248580760385.58252,-85.27641756983645
181.81821487603906,1304862148447.1897,-26.559667736248137
217.3913043478261,588509736096.1597,-65.50957348874488
250.0,518736339417.06024,-61.64715583852906
294.1175605536586,233609304785.44772,-4.6677103028321865
363.6363636363637,1731783110319.1887,22.030486386912663
436.6812227074236,1148340620677.2866,-54.9059322610405
