File,MedianLogRho_det,MedianRho_det,Nperiods
PRIDE.ZAM001A_RH_ZAM00.2011-2012.edi,7.037120085165629,10892312.312254572,84
PRIDE.ZAM002A_RH_ZAM00.2011-2012.edi,7.171025488263742,14826309.816345172,84
PRIDE.ZAM003A_RH_ZAM00.2011-2012.edi,7.313990582449713,20605962.506836712,84
PRIDE.ZAM004A_RH_ZAM00.2011-2012.edi,7.57575056956793,37648807.771666124,60
PRIDE.ZAM006A_RH_ZAM00.2011-2012.edi,7.168413252698533,14738868.96107542,84
PRIDE.ZAM007A_RH_ZAM01.2011-2012.edi,9.400320216247348,2514001592.538136,84
PRIDE.ZAM008A_RH_ZAM01.2011-2012.edi,9.434972063832166,2723015741.291934,88
PRIDE.ZAM009A_RH_ZAM01.2011-2012.edi,9.007787473444601,1018146458.1076698,84
PRIDE.ZAM010A_RH_ZAM00.2011-2012.edi,8.761661855681709,577692359.1360346,88
PRIDE.ZAM011A_RH_ZAM00.2011-2012.edi,9.032247301577577,1077078955.5670342,84
PRIDE.ZAM012A_RH_ZAM00.2011-2012.edi,7.937813440129958,86735412.19586286,80
PRIDE.ZAM013A_RH_ZAM01.2011-2012.edi,7.78625339793898,61137201.40117197,88
PRIDE.ZAM014A_RH_ZAM01.2011-2012.edi,7.939321918610103,87072897.62004727,92
PRIDE.ZAM015A_RH_ZAM01.2011-2012.edi,7.971323072406719,93612799.44338167,88
PRIDE.ZAM016A_RH_ZAM01.2011-2012.edi,8.20853031393408,161640586.0266701,92
PRIDE.ZAM017A_RH_ZAM01.2011-2012.edi,7.8781586833994695,75540865.4473813,84
PRIDE.ZAM018A_RH_ZAM01.2011-2012.edi,8.005968852695196,101540565.66788629,84
PRIDE.ZAM01B_RH_ZAM03B.2011-2012.edi,8.116291548198795,130712237.99388579,80
PRIDE.ZAM02B_RH_ZAM07B.2011-2012.edi,9.093009872395106,1238824747.2113695,69
PRIDE.ZAM03B_RH_ZAM01B.2011-2012.edi,8.915933677276088,824016020.0160835,80
PRIDE.ZAM04B_RH_ZAM05B.2011-2012.edi,9.072491421614838,1181684508.936591,80
PRIDE.ZAM05B_RH_ZAM04B.2011-2012.edi,9.066949143935862,1166871235.4423141,56
PRIDE.ZAM06B_LH_ZAM06B.2011-2012.edi,8.639116937088135,435629154.3543348,65
PRIDE.ZAM07B_RH_ZAM09B.2011-2012.edi,7.644573093119327,44119624.84948583,80
PRIDE.ZAM08B_RH_ZAM07B.2011-2012.edi,7.665959218144143,46368575.21472335,52
PRIDE.ZAM09B_RH_ZAM07B.2011-2012.edi,7.867424629272051,73819152.12152687,80
PRIDE.ZAM10B_RH_ZAM18B.2011-2012.edi,7.423797027001962,26533651.884939462,65
PRIDE.ZAM12B_RH_ZAM13B.2011-2012.edi,7.17491662753272,14959484.480121927,73
PRIDE.ZAM13B_RH_ZAM12B.2011-2012.edi,7.083782225693594,12127805.56587447,73
PRIDE.ZAM14B_RH_ZAM15B.2011-2012.edi,6.675043110945327,4731982.294189928,61
PRIDE.ZAM15B_RH_ZAM16B.2011-2012.edi,7.052209760934976,11277420.154807776,65
