Site,File,Skew,Is1D
"Kimberley, South Africa",SAMTEX.kim420.2004.edi,0.02847044882726374,True
"Botswana, Africa",SAMTEX.mof112.2005.edi,0.028825154151291686,True
"Botswana, Africa",SAMTEX.bot407.2005.edi,0.029291711857858917,True
"Kimberley, South Africa",SAMTEX.kim423.2004.edi,0.02947406445694705,True
"Kimberley, South Africa",SAMTEX.kim429.2004.edi,0.03259513906276064,True
"Kimberley, South Africa",SAMTEX.kim314.2003-2006.edi,0.033218478479391675,True
"Kimberley, South Africa",SAMTEX.kim430.2004.edi,0.033334951148450156,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal019.2008.edi,0.03369804441092959,True
"Botswana, Africa",SAMTEX.mof107.2005.edi,0.03494826322031007,True
"Kimberley, South Africa",SAMTEX.kim432.2004.edi,0.03526955224721738,True
"Kimberley, South Africa",SAMTEX.kim428.2004.edi,0.03539931759164598,True
"Kimberley, South Africa",SAMTEX.kim413.2004.edi,0.03615372980700378,True
"Hardap Region, Namibia, Africa",SAMTEX.GIB006A.2008.edi,0.03920052139982914,True
"Central Botswana, Africa",SAMTEX.san008.2008.edi,0.039268917122698296,True
"Central Botswana, Africa",SAMTEX.san006.2008.edi,0.039313372005272886,True
"Botswana, Africa",SAMTEX.bot420.2005.edi,0.04034749127281589,True
"Namibia, Africa",SAMTEX.dmb035.2006.edi,0.04148007659489066,True
"Kimberley, South Africa",SAMTEX.kim011.2003-2006.edi,0.042534732434094814,True
"Kimberley, South Africa",SAMTEX.kim426.2004.edi,0.04302375521911589,True
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g008.2006.edi,0.043029753453956585,True
"Central Botswana, Africa",SAMTEX.san002.2008.edi,0.0436892061913234,True
"Kimberley, South Africa",SAMTEX.kim431.2004.edi,0.04420592423291266,True
"Tshane, Botswana, Africa",SAMTEX.rtz416.2005.edi,0.044768562103274206,True
"Kimberley, South Africa",SAMTEX.kim425.2004.edi,0.045285151540725786,True
"Orapa, Botswana, Africa",SAMTEX.sso107.2005.edi,0.04592627928870336,True
"Botswana, Africa",SAMTEX.bot227.2005.edi,0.046709725860243835,True
"Central Botswana, Africa",SAMTEX.san007.2008.edi,0.04718139503093468,True
"Namibia, Africa",SAMTEX.dmb033.2006.edi,0.04776993774685064,True
"Kimberley, South Africa",SAMTEX.kim427.2004.edi,0.04812429672097553,True
"NE Namibia, Africa",SAMTEX.CPV001.2006.edi,0.04813802682301899,True
"Central Botswana, Africa",SAMTEX.san003.2008.edi,0.04818919809994435,True
"Botswana, Africa",SAMTEX.mof108.2005.edi,0.04870667769809969,True
"Kimberley, South Africa",SAMTEX.kim419.2004.edi,0.050505661613138644,True
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g011.2006.edi,0.05322060376261286,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal022.2008.edi,0.053444229113480554,True
"Botswana, Africa",SAMTEX.mof114.2005.edi,0.05541345086195039,True
"Orapa, Botswana, Africa",SAMTEX.sso108.2005.edi,0.055628316756398434,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal021.2008.edi,0.05704552128963543,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal016.2008.edi,0.05711310192673403,True
"Botswana, Africa",SAMTEX.mof111.2005.edi,0.05739396360958979,True
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g009.2006.edi,0.057586969335127615,True
"Namibia, Africa",SAMTEX.dmb031.2006.edi,0.05783397168039425,True
"Tshane, Botswana, Africa",SAMTEX.rtz407.2005.edi,0.05942939008017599,True
"Botswana, Africa",SAMTEX.bot231.2005.edi,0.05982093571142939,True
"Tshane, Botswana, Africa",SAMTEX.rtz414.2005.edi,0.06002764698655234,True
"Kimberley, South Africa",SAMTEX.kim424.2004.edi,0.060309990983979024,True
"Kweneng, Botswana, Africa",SAMTEX.mol105.2005.edi,0.06036458224206622,True
"Tshane, Botswana, Africa",SAMTEX.rtz419.2005.edi,0.06054671966404462,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal012.2008.edi,0.06221994275224424,True
"Botswana, Africa",SAMTEX.mof109.2005.edi,0.06246200258148874,True
"Kasane, Zimbabwe, Africa",SAMTEX.ELZ294A.2008.edi,0.06263496221953549,True
"Botswana, Africa",SAMTEX.mof101.2005.edi,0.06310537622037891,True
"Botswana, Africa",SAMTEX.bot228.2005.edi,0.06364656513484565,True
"Tshane, Botswana, Africa",SAMTEX.rtz401.2005.edi,0.06489474189417249,True
"Coffiefontain, South Africa",SAMTEX.kof009.2004.edi,0.06491528136972421,True
"Makgadikgadi Park, Botswana, Africa",SAMTEX.mak006.2006.edi,0.06528927293772785,True
"Central Botswana, Africa",SAMTEX.san009.2008.edi,0.06585998078076971,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal023.2008.edi,0.06592216445351241,True
"Hardap Region, Namibia, Africa",SAMTEX.GIB010A.2008.edi,0.06626523912808009,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal009.2008.edi,0.06639797480172988,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal018.2008.edi,0.06645060737493581,True
"Tshane, Botswana, Africa",SAMTEX.rtz413.2005.edi,0.06727844454205528,True
