period_s,rho_det,phase_det_deg
0.0017200010320006193,31.027716503844452,-47.71308625343723
0.00222000222000222,28.13159204775644,-35.47399117564463
0.0029399996060400528,34.21807644411714,-31.386327452753658
0.004,29.19936479586024,-30.697482774134844
0.0052600018936006816,25.209423716801,-29.837829460360002
0.006670001667500416,22.454909209916362,-29.657025098148736
0.009090000090900002,20.069115651897985,-31.580424837068442
0.0125,18.481815196542154,-31.913577097119315
0.016670000666800026,16.475798006549226,-32.10803921485688
0.022229978014551746,13.299764455642357,-33.22440359550352
0.03078002745578449,12.202825841079475,-35.70422960811414
0.08,10.736056966591198,-49.49446197032355
0.1066700004597477,11.290059301873285,-55.1928255611868
0.14546000417179292,12.896850554982537,-60.26553423988366
0.18826010015437328,14.52021985751555,-65.00490244460282
0.24617990334976994,17.453386900734515,-68.29489684807801
0.3200399409846349,20.994335848907586,-70.32628639389468
0.42671946608860406,26.19520924702267,-71.80873135565456
0.5818892781081616,33.993909109219885,-71.77292130599724
0.6321312304434401,35.54987153443434,-71.83553465646598
0.8533806675143581,44.212509504553054,-71.1088161538902
1.1378300147952036,53.553079036800995,-69.27607660489342
1.551589898653251,64.06503047757428,-67.76330378941718
2.0080889840455325,71.30168181697039,-65.57997340793217
2.6259676690860583,80.57826139816929,-64.44562060954112
3.4137615555828655,89.5755624720678,-62.95755473866347
4.551682074110487,98.42996985482975,-60.86066561009937
6.206823782066003,113.1711114358272,-59.72090374533679
8.277323444690925,115.8970124804771,-57.462009690128326
10.926080368095278,130.03988366900487,-56.34460527326951
15.175110148537012,141.74537234228703,-54.30447814222548
21.01166988145216,152.96517212295362,-52.247209414971685
26.64271664058789,160.54724965184258,-50.99450017479886
35.23719920645827,157.77282027776545,-49.299231358542414
47.49352900667284,165.08202797775658,-47.85874172847595
64.25620232992989,163.51238693552995,-46.523849687251236
84.02725844263878,168.20535499724897,-45.40606825617241
112.049199458892,171.09562763081368,-44.7384761048067
150.6868078672377,163.66492169163166,-43.61783225434293
198.63261309147825,162.13223722260554,-42.56133018309022
257.05421016238114,154.2253975185212,-41.583193730023005
336.14801269294895,154.3767166299106,-41.03172945685266
485.54767349832247,151.8234267117488,-39.93975723014272
647.2994666252395,146.72157385885873,-38.29721100453561
873.8585223052388,138.26774013231653,-36.915057318827216
1165.1410310006743,130.01165146187725,-35.56448456703618
1941.902170852437,107.32796129382466,-32.677238842164115
