Site,MedianLogRho,MedianRho,rho_T1s,rho_T10s,rho_T100s,Nperiods,Lat,Lon
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.349805555555555,22.497691666666668
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.966080555555555,24.319666666666667
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-17.447219444444446,24.21527777777778
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-17.382805555555557,24.648191666666666
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.710691666666666,24.553055555555556
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.00713888888889,23.336277777777777
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.83025,24.99688888888889
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.185,25.037358333333337
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.38660833333333,22.868277777777777
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.847441666666668,24.671858333333333
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.54213888888889,24.77146944444444
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.905166666666666,23.84521944444444
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-17.177500000000002,24.06002777777778
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.529916666666665,23.44938888888889
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.527608333333333,24.92663888888889
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-17.336691666666667,24.13246944444445
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.380055555555558,22.67930555555556
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.088555555555557,23.769608333333338
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.190858333333331,23.422219444444444
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-17.385555555555555,24.148358333333334
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.912777777777778,24.49913888888889
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.368441666666667,23.605247222222225
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.3725,23.75783055555555
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.679719444444444,24.891191666666668
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.767166666666665,23.71075
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.661358333333332,23.566305555555555
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.430388888888888,24.133358333333337
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.150777777777778,23.596941666666662
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-17.098888888888887,24.836358333333333
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.372191666666666,23.240691666666667
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.949441666666669,24.55333055555556
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.004191666666667,25.047777777777775
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.062441666666668,23.95575
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-17.022166666666667,23.959080555555555
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.344580555555556,24.946719444444444
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-17.41421944444444,24.181108333333334
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.293858333333336,22.30513888888889
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.102441666666666,24.452527777777775
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.415497222222225,23.265027777777775
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-13.58098611111111,22.588749999999997
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.018108333333334,24.142691666666668
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.821055555555557,23.31463888888889
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-17.236219444444444,24.709969444444443
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.38660833333333,22.868277777777777
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.379555555555555,24.690166666666663
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.17988888888889,23.340441666666667
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-13.20778611111111,24.64087222222222
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.360608333333335,23.367608333333333
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.615719444444444,24.394441666666665
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.446830555555556,23.240219444444445
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.375555555555556,23.960638888888887
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.251219444444445,23.24008055555556
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.503638888888888,24.249469444444447
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.637969444444444,23.309691666666662
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-15.232888888888889,24.582166666666662
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-13.259391666666666,23.313072222222225
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-14.772108333333334,24.57485833333333
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.969638888888888,24.94855555555555
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.68502777777778,25.00738888888889
