Site,MedianLogRho,MedianRho,rho_T1s,rho_T10s,rho_T100s,Nperiods,Slope_mid_1_100s
PRIDE.ZAM001A_RH_ZAM00.2011-2012,7.037120085165629,10892312.310091732,7218013.582862408,5910910.994489575,18937438.384894136,84,0.24638245779301834
PRIDE.ZAM002A_RH_ZAM00.2011-2012,7.171025488263742,14826050.950491078,7472804.879535273,70653675.27289592,6835415.48968674,84,0.17669262173527037
PRIDE.ZAM003A_RH_ZAM00.2011-2012,7.313990582449713,20605852.2959053,8849985.80188344,17090827.094493803,34266871.131829955,84,0.3064386887847557
PRIDE.ZAM004A_RH_ZAM00.2011-2012,7.57575056956793,37648750.700283624,24522254.317118347,43479169.214459546,39165695.44529266,60,0.03801017412006212
PRIDE.ZAM006A_RH_ZAM00.2011-2012,7.168413252698533,14737141.474246236,6144368.662100864,35349619.94306986,9419980.577295627,84,0.11677289663927741
PRIDE.ZAM007A_RH_ZAM01.2011-2012,9.400320216247348,2513739191.52811,4003558304.494315,2243294818.919813,3014754174.0239677,84,-0.10098504875983419
PRIDE.ZAM008A_RH_ZAM01.2011-2012,9.434972063832166,2722526174.850181,6362895565.538182,2691629754.303505,2726410146.2996826,88,-0.23305018719799503
PRIDE.ZAM009A_RH_ZAM01.2011-2012,9.007787473444601,1018093051.6282603,2898882053.245146,1264785639.9506078,1040930981.7317327,84,-0.28235561992765856
PRIDE.ZAM010A_RH_ZAM00.2011-2012,8.761661855681709,577646113.4995078,1257272609.3846433,947850810.4715334,589634794.0791171,88,-0.26406068446782555
PRIDE.ZAM011A_RH_ZAM00.2011-2012,9.032247301577577,1077078362.9233024,2013299097.708246,1244238987.068925,1109870386.5811882,84,-0.19336586525053093
PRIDE.ZAM012A_RH_ZAM00.2011-2012,7.937813440129958,86658953.49452479,59416095.61247611,158076340.70547226,154218824.32785282,80,0.14878244077932493
PRIDE.ZAM013A_RH_ZAM01.2011-2012,7.78625339793898,61129859.545649566,26276758.44780766,110542178.03771386,145500631.7708967,88,0.32243115142687906
PRIDE.ZAM014A_RH_ZAM01.2011-2012,7.939321918610103,86960478.06350376,22022467.602995485,102821033.30943112,158512743.73387796,92,0.42052423310547504
PRIDE.ZAM015A_RH_ZAM01.2011-2012,7.971323072406719,93610178.29120606,86111080.09916154,251573969.7717693,376755068.6231405,88,0.2995943343782108
PRIDE.ZAM016A_RH_ZAM01.2011-2012,8.20853031393408,161633104.27431238,32134475.016302735,205426884.67044255,239540739.0729119,92,0.37646770944212277
PRIDE.ZAM017A_RH_ZAM01.2011-2012,7.8781586833994695,75536817.52065755,35321797.489468865,150356558.23662156,285707746.7310441,84,0.43284543702341904
PRIDE.ZAM018A_RH_ZAM01.2011-2012,8.005968852695196,101383867.1309374,33241294.903436836,374510090.2863528,298379844.3694945,84,0.429444459423895
PRIDE.ZAM01B_RH_ZAM03B.2011-2012,8.116291548198795,130704803.4023565,112419776.59548673,147236817.33655336,290801382.39889836,80,0.17332168587684274
PRIDE.ZAM02B_RH_ZAM07B.2011-2012,9.093009872395106,1238824747.2113674,1061289418.4162616,213122101.95492545,4339845412.916092,69,0.1332207290239392
PRIDE.ZAM03B_RH_ZAM01B.2011-2012,8.915933677276088,824012267.429022,958877668.175805,701148418.2638909,1037120753.7509422,80,-0.015501463425276607
PRIDE.ZAM04B_RH_ZAM05B.2011-2012,9.072491421614838,1181656971.6800768,1493575265.2172053,1020639995.0518588,1429718830.0045748,80,-0.045404489053630835
PRIDE.ZAM05B_RH_ZAM04B.2011-2012,9.066949143935862,1166672991.1700068,1922497324.942718,1403011536.4408479,,56,-0.13094474820538668
PRIDE.ZAM06B_LH_ZAM06B.2011-2012,8.639116937088135,435629154.3543348,576966570.0136579,465005673.9512026,762785217.3583475,65,-0.06149072128403562
PRIDE.ZAM07B_RH_ZAM09B.2011-2012,7.644573093119327,44113660.15434396,14220137.45624311,54996363.47853042,84710155.66604699,80,0.3572349085361964
PRIDE.ZAM08B_RH_ZAM07B.2011-2012,7.665959218144143,46340340.24020989,9194513.928050706,37258289.34113167,57532629.49567613,52,0.3787181284750323
PRIDE.ZAM09B_RH_ZAM07B.2011-2012,7.867424629272051,73692727.23430587,28213800.387969244,220024513.37385708,249680854.59718034,80,0.43176294453986075
PRIDE.ZAM10B_RH_ZAM18B.2011-2012,7.423797027001962,26533651.884939462,7207286.02508875,764463.6855351127,76997251.05850221,65,0.7332538042422871
PRIDE.ZAM12B_RH_ZAM13B.2011-2012,7.17491662753272,14959484.480121927,13162899.215304613,24426988.621361904,13777482.174924096,73,-0.0008967005717504924
PRIDE.ZAM13B_RH_ZAM12B.2011-2012,7.083782225693594,12127805.565874472,11741132.795269221,13726978.503639515,7121301.148822628,73,0.08931350847237968
PRIDE.ZAM14B_RH_ZAM15B.2011-2012,6.675043110945327,4731982.294189932,5542335.575232317,5822109.937751935,7323946.403911317,61,-0.1138070444814615
PRIDE.ZAM15B_RH_ZAM16B.2011-2012,7.052209760934976,11277420.154807778,3832487.575607533,22062405.74644382,35396871.44221044,65,0.638120887073168
PRIDE.ZAM16B_RH_ZAM15B.2011-2012,7.640334675384538,43685234.908489086,13665848.341153229,58724888.92449342,93753794.71241897,65,0.4278232330691404
PRIDE.ZAM17B_LH_ZAM17B.2011-2012,7.278140059374747,18973177.049136672,5890490.242680643,32986603.35371716,67132300.91494884,73,0.5548248809905351
PRIDE.ZAM18B_RH_ZAM10B.2011-2012,7.700596159045363,50187568.92323381,14868215.979247186,119455104.61985429,212395338.22678274,65,0.5622839749296978
