Site,MeanSkew,Is1D_like
"Barotse Basin, Western Province, Zambia",2.5647077588117537,False
"Botswana, Africa",0.9270692202199581,False
"Central Botswana, Africa",0.11097439344934885,True
"Coffiefontain, South Africa",0.2453310587538099,False
"Hardap Region, Namibia, Africa",0.4884568395776326,False
"Kalahari Game Reserve, Botswana, Africa",0.22036139660810616,False
"Kang to Ghazi, Botswana, Africa",0.10334641686027445,True
"Kasane, Zimbabwe, Africa",0.7540097274395224,False
"Kimberley, South Africa",1.756430316864726,False
"Klerksdorp, South Africa",0.7907041209965855,False
"Kweneng, Botswana, Africa",0.14834790727253933,True
"Makgadikgadi Park, Botswana, Africa",0.14958546413015048,True
"Mokopane, South Africa",0.7968688549342239,False
"NE Namibia, Africa",0.6425996761838643,False
"Namibia, Africa",0.7231773384676025,False
"Northern Namibia, Africa",0.5162054866298761,False
"Okavango Lake, Botswana, Africa",0.595121022151594,False
"Orapa, Botswana, Africa",0.3080257911898504,False
"Otjiwarongo, Namibia, Africa",1.064736083271819,False
"Smithfield, South Africa",0.23368160625121348,False
South Africa,1.3169712421454352,False
"Southern Botswana, Africa",4.6307453534599246,False
"Tshane, Botswana, Africa",0.29006333037197884,False
"Tzaneen, South Africa",7.107327017718656,False
"Weiveld, South Africa",0.23826200661148778,False
"Windhoek, Namibia, Africa",0.7460005752386767,False
"Zimbabwe, Africa",0.8614944748110619,False
