Site,MeanSkew,Is1D_like
"Kang to Ghazi, Botswana, Africa",0.10334641686027445,True
"Central Botswana, Africa",0.11097439344934885,True
"Kweneng, Botswana, Africa",0.14834790727253933,True
"Makgadikgadi Park, Botswana, Africa",0.14958546413015048,True
"Kalahari Game Reserve, Botswana, Africa",0.22036139660810616,True
"Smithfield, South Africa",0.23368160625121348,True
"Weiveld, South Africa",0.23826200661148778,True
"Coffiefontain, South Africa",0.2453310587538099,True
"Tshane, Botswana, Africa",0.29006333037197884,True
"Orapa, Botswana, Africa",0.3080257911898504,True
"Hardap Region, Namibia, Africa",0.4884568395776326,True
"Northern Namibia, Africa",0.5162054866298761,True
"Okavango Lake, Botswana, Africa",0.595121022151594,True
"NE Namibia, Africa",0.6425996761838643,True
"Namibia, Africa",0.7231773384676025,True
"Windhoek, Namibia, Africa",0.7460005752386768,True
"Kasane, Zimbabwe, Africa",0.7540097274395224,True
"Klerksdorp, South Africa",0.7907041209965855,True
"Mokopane, South Africa",0.7968688549342239,True
"Zimbabwe, Africa",0.8614944748110619,True
"Botswana, Africa",0.9270692202199581,True
"Otjiwarongo, Namibia, Africa",1.0647360832718187,True
South Africa,1.3169712421454352,True
"Kimberley, South Africa",1.756430316864726,True
"Barotse Basin, Western Province, Zambia",2.5647077588117537,False
"Southern Botswana, Africa",4.6307453534599246,False
"Tzaneen, South Africa",7.107327017718656,False
